candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2016,XGBoost: A Scalable Tree Boosting System,"Tianqi Chen, Carlos Guestrin",Knowledge Discovery and Data Mining,2016-03-09,55903,4189,360.257,General AI Methods and Systems,metadata-ranked,machine-learning,Tree boosting is a highly effective and widely used machine learning method.,"high citation signal (55,903); influential citation signal (4,189); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1145/2939672.2939785,https://www.semanticscholar.org/paper/26bc9195c6343e4d7f434dd65b4ad67efe2be27a,http://dl.acm.org/ft_gateway.cfm?id=2939785&type=pdf,10.1145/2939672.2939785,1603.02754,,4650265,Computer Science; Mathematics,JournalArticle; Book; Conference,machine learning,1,citations=55903; influential=4189; open PDF metadata; AI term matches=2,"Tree boosting is a highly effective and widely used machine learning method. In this paper, we describe a scalable end-to-end tree boosting system called XGBoost, which is used widely by data scientists to achieve state-of-the-art results on many machine learning challenges. We propose a novel sparsity-aware algorithm for sparse data and weighted quantile sketch for approximate tree learning. More importantly, we provide insights on cache access patterns, data compression and sharding to build a scalable tree boosting system. By combining these insights, XGBoost scales beyond billions of examples using far fewer resources than existing systems."
2,2016,Semi-Supervised Classification with Graph Convolutional Networks,"Thomas Kipf, M. Welling",International Conference on Learning Representations,2016-09-09,35590,7363,371.218,"Graph Learning, Recommendation, and Core Methods",benchmark/dataset; graph-learning,machine-learning; graph-learning,We present a scalable approach for semi-supervised learning on graph-structured data that is based on an efficient variant of convolutional neural networks which operate directly on graphs.,"high citation signal (35,590); influential citation signal (7,363)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://www.semanticscholar.org/paper/36eff562f65125511b5dfab68ce7f7a943c27478,https://www.semanticscholar.org/paper/36eff562f65125511b5dfab68ce7f7a943c27478,,,1609.02907,,3144218,Computer Science; Mathematics,JournalArticle,graph neural networks; neural networks,2,citations=35590; influential=7363; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2,We present a scalable approach for semi-supervised learning on graph-structured data that is based on an efficient variant of convolutional neural networks which operate directly on graphs. We motivate the choice of our convolutional architecture via a localized first-order approximation of spectral graph convolutions. Our model scales linearly in the number of graph edges and learns hidden layer representations that encode both local graph structure and features of nodes. In a number of experiments on citation networks and on a knowledge graph dataset we demonstrate that our approach outperforms related methods by a significant margin.
3,2016,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,"Ramprasaath R. Selvaraju, Abhishek Das, Ramakrishna Vedantam, Michael Cogswell, Devi Parikh, Dhruv Batra",International Journal of Computer Vision,2016-10-07,27497,2434,358.049,Vision and Multimodal Learning,benchmark/dataset; transformer; trustworthy-ai; reinforcement-learning,machine-learning; multimodal; nlp; vision; reinforcement-learning; trustworthy-ai,"We propose a technique for producing ‘visual explanations’ for decisions from a large class of Convolutional Neural Network (CNN)-based models, making them more transparent and explainable.","high citation signal (27,497); influential citation signal (2,434); open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1007/s11263-019-01228-7,https://www.semanticscholar.org/paper/5582bebed97947a41e3ddd9bd1f284b73f1648c2,http://arxiv.org/pdf/1610.02391,10.1007/s11263-019-01228-7,1610.02391,,15019293,Computer Science,JournalArticle,computer vision; deep learning; neural networks; pattern recognition; reinforcement learning,5,citations=27497; influential=2434; survey/benchmark signal; resource signal; translation/trustworthiness signal; open PDF metadata; AI term matches=7; query hits=5,"We propose a technique for producing ‘visual explanations’ for decisions from a large class of Convolutional Neural Network (CNN)-based models, making them more transparent and explainable. Our approach—Gradient-weighted Class Activation Mapping (Grad-CAM), uses the gradients of any target concept (say ‘dog’ in a classification network or a sequence of words in captioning network) flowing into the final convolutional layer to produce a coarse localization map highlighting the important regions in the image for predicting the concept. Unlike previous approaches, Grad-CAM is applicable to a wide variety of CNN model-families: (1) CNNs with fully-connected layers (e.g.VGG), (2) CNNs used for structured outputs (e.g.captioning), (3) CNNs used in tasks with multi-modal inputs (e.g.visual question answering) or reinforcement learning, all without architectural changes or re-training. We combine Grad-CAM with existing fine-grained visualizations to create a high-resolution class-discriminative visualization, Guided Grad-CAM, and apply it to image classification, image captioning, and visual question answering (VQA) models, including ResNet-based architectures. In the context of image classification models, our visualizations (a) lend insights into failure modes of these models (showing that seemingly unreasonable predictions have reasonable explanations), (b) outperform previous methods on the ILSVRC-15 weakly-supervised localization task, (c) are robust to adversarial perturbations, (d) are more faithful to the underlying model, and (e) help achieve model generalization by identifying dataset bias. For image captioning and VQA, our visualizations show that even non-attention based models learn to localize discriminative regions of input image. We devise a way to identify important neurons through Grad-CAM and combine it with neuron names (Bau et al. in Computer vision and pattern recognition, 2017) to provide textual explanations for model decisions. Finally, we design and conduct human studies to measure if Grad-CAM explanations help users establish appropriate trust in predictions from deep networks and show that Grad-CAM helps untrained users successfully discern a ‘stronger’ deep network from a ‘weaker’ one even when both make identical predictions. Our code is available at https://github.com/ramprs/grad-cam/, along with a demo on CloudCV (Agrawal et al., in: Mobile cloud visual media computing, pp 265–290. Springer, 2015) (http://gradcam.cloudcv.org) and a video at http://youtu.be/COjUB9Izk6E."
4,2016,Communication-Efficient Learning of Deep Networks from Decentralized Data,"H. B. McMahan, Eider Moore, Daniel Ramage, S.C.D. Hampson, B. A. Y. Arcas",International Conference on Artificial Intelligence and Statistics,2016-02-17,24984,5037,363.119,Foundation Models and Large Language Models,trustworthy-ai,nlp; vision; trustworthy-ai,"Modern mobile devices have access to a wealth of data suitable for learning models, which in turn can greatly improve the user experience on the device.","high citation signal (24,984); influential citation signal (5,037); recognized venue","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/d1dbf643447405984eeef098b1b320dee0b3b8a7,https://www.semanticscholar.org/paper/d1dbf643447405984eeef098b1b320dee0b3b8a7,,,1602.05629,,14955348,Computer Science,JournalArticle,deep learning; large language models,2,citations=24984; influential=5037; recognized venue; translation/trustworthiness signal; open PDF metadata; AI term matches=5; query hits=2,"Modern mobile devices have access to a wealth of data suitable for learning models, which in turn can greatly improve the user experience on the device. For example, language models can improve speech recognition and text entry, and image models can automatically select good photos. However, this rich data is often privacy sensitive, large in quantity, or both, which may preclude logging to the data center and training there using conventional approaches. We advocate an alternative that leaves the training data distributed on the mobile devices, and learns a shared model by aggregating locally-computed updates. We term this decentralized approach Federated Learning. We present a practical method for the federated learning of deep networks based on iterative model averaging, and conduct an extensive empirical evaluation, considering five different model architectures and four datasets. These experiments demonstrate the approach is robust to the unbalanced and non-IID data distributions that are a defining characteristic of this setting. Communication costs are the principal constraint, and we show a reduction in required communication rounds by 10-100x as compared to synchronized stochastic gradient descent."
5,2016,“Why Should I Trust You?”: Explaining the Predictions of Any Classifier,"Marco Tulio Ribeiro, Sameer Singh, Carlos Guestrin",North American Chapter of the Association for Computational Linguistics,2016-02-16,22598,2170,336.126,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning; nlp; vision,"Despite widespread adoption, machine learning models remain mostly black boxes.","high citation signal (22,598); influential citation signal (2,170); open-access PDF metadata","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1145/2939672.2939778,https://www.semanticscholar.org/paper/c0883f5930a232a9c1ad601c978caede29155979,https://www.aclweb.org/anthology/N16-3020.pdf,10.1145/2939672.2939778,1602.04938,,13029170,Computer Science; Mathematics,Book; JournalArticle; Conference,machine learning; neural networks,2,citations=22598; influential=2170; open PDF metadata; AI term matches=5; query hits=2,"Despite widespread adoption, machine learning models remain mostly black boxes. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model. Such understanding also provides insights into the model, which can be used to transform an untrustworthy model or prediction into a trustworthy one. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally varound the prediction. We also propose a method to explain models by presenting representative individual predictions and their explanations in a non-redundant way, framing the task as a submodular optimization problem. We demonstrate the flexibility of these methods by explaining different models for text (e.g. random forests) and image classification (e.g. neural networks). We show the utility of explanations via novel experiments, both simulated and with human subjects, on various scenarios that require trust: deciding if one should trust a prediction, choosing between models, improving an untrustworthy classifier, and identifying why a classifier should not be trusted."
6,2016,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs","Liang-Chieh Chen, G. Papandreou, Iasonas Kokkinos, K. Murphy, A. Yuille",IEEE Transactions on Pattern Analysis and Machine Intelligence,2016-06-02,21100,1843,343.331,Vision and Multimodal Learning,metadata-ranked,vision; reinforcement-learning,In this work we address the task of semantic image segmentation with Deep Learning and make three main contributions that are experimentally shown to have substantial practical merit.,"high citation signal (21,100); influential citation signal (1,843); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/TPAMI.2017.2699184,https://www.semanticscholar.org/paper/cab372bc3824780cce20d9dd1c22d4df39ed081a,https://arxiv.org/pdf/1606.00915,10.1109/TPAMI.2017.2699184,1606.00915,28463186,3429309,Computer Science; Medicine,JournalArticle,deep learning; neural networks,2,citations=21100; influential=1843; recognized venue; resource signal; open PDF metadata; AI term matches=3; query hits=2,"In this work we address the task of semantic image segmentation with Deep Learning and make three main contributions that are experimentally shown to have substantial practical merit. First, we highlight convolution with upsampled filters, or ‘atrous convolution’, as a powerful tool in dense prediction tasks. Atrous convolution allows us to explicitly control the resolution at which feature responses are computed within Deep Convolutional Neural Networks. It also allows us to effectively enlarge the field of view of filters to incorporate larger context without increasing the number of parameters or the amount of computation. Second, we propose atrous spatial pyramid pooling (ASPP) to robustly segment objects at multiple scales. ASPP probes an incoming convolutional feature layer with filters at multiple sampling rates and effective fields-of-views, thus capturing objects as well as image context at multiple scales. Third, we improve the localization of object boundaries by combining methods from DCNNs and probabilistic graphical models. The commonly deployed combination of max-pooling and downsampling in DCNNs achieves invariance but has a toll on localization accuracy. We overcome this by combining the responses at the final DCNN layer with a fully connected Conditional Random Field (CRF), which is shown both qualitatively and quantitatively to improve localization performance. Our proposed “DeepLab” system sets the new state-of-art at the PASCAL VOC-2012 semantic image segmentation task, reaching 79.7 percent mIOU in the test set, and advances the results on three other datasets: PASCAL-Context, PASCAL-Person-Part, and Cityscapes. All of our code is made publicly available online."
7,2016,TensorFlow: A system for large-scale machine learning,"Martín Abadi, P. Barham, Jianmin Chen, Z. Chen, Andy Davis, J. Dean, M. Devin, S. Ghemawat, et al.",USENIX Symposium on Operating Systems Design and Implementation,2016-05-27,19730,2228,338.509,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,TensorFlow is a machine learning system that operates at large scale and in heterogeneous environments.,"high citation signal (19,730); influential citation signal (2,228)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://www.semanticscholar.org/paper/4954fa180728932959997a4768411ff9136aac81,https://www.semanticscholar.org/paper/4954fa180728932959997a4768411ff9136aac81,,,1605.08695,,6287870,Computer Science,JournalArticle; Conference,deep learning; graph neural networks; machine learning; neural networks,4,citations=19730; influential=2228; resource signal; open PDF metadata; title AI matches=1; AI term matches=3; query hits=4,"TensorFlow is a machine learning system that operates at large scale and in heterogeneous environments. Tensor-Flow uses dataflow graphs to represent computation, shared state, and the operations that mutate that state. It maps the nodes of a dataflow graph across many machines in a cluster, and within a machine across multiple computational devices, including multicore CPUs, general-purpose GPUs, and custom-designed ASICs known as Tensor Processing Units (TPUs). This architecture gives flexibility to the application developer: whereas in previous ""parameter server"" designs the management of shared state is built into the system, TensorFlow enables developers to experiment with novel optimizations and training algorithms. TensorFlow supports a variety of applications, with a focus on training and inference on deep neural networks. Several Google services use TensorFlow in production, we have released it as an open-source project, and it has become widely used for machine learning research. In this paper, we describe the TensorFlow dataflow model and demonstrate the compelling performance that TensorFlow achieves for several real-world applications."
8,2016,Mastering the game of Go with deep neural networks and tree search,"David Silver, Aja Huang, Chris J. Maddison, A. Guez, L. Sifre, George van den Driessche, Julian Schrittwieser, Ioannis Antonoglou, et al.",Nature,2016-01-27,18935,617,327.645,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Mastering the game of Go with deep neural networks and tree search within General AI Methods and Systems.,"high citation signal (18,935); influential citation signal (617); recognized venue; open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1038/nature16961,https://www.semanticscholar.org/paper/846aedd869a00c09b40f1f1f35673cb22bc87490,https://www.nature.com/articles/nature16961.pdf,10.1038/nature16961,,26819042,515925,Computer Science; Medicine,JournalArticle,artificial intelligence; deep learning; neural networks; reinforcement learning,4,citations=18935; influential=617; recognized venue; open PDF metadata; title AI matches=2; AI term matches=2; query hits=4,
9,2016,Xception: Deep Learning with Depthwise Separable Convolutions,François Chollet,Computer Vision and Pattern Recognition,2016-10-07,17926,1936,351.434,Vision and Multimodal Learning,benchmark/dataset,machine-learning; vision,We present an interpretation of Inception modules in convolutional neural networks as being an intermediate step in-between regular convolution and the depthwise separable convolution operation (a depthwise convolution followed by a pointwise convolution).,"high citation signal (17,926); influential citation signal (1,936); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2017.195,https://www.semanticscholar.org/paper/5b6ec746d309b165f9f9def873a2375b6fb40f3d,https://arxiv.org/pdf/1610.02357,10.1109/CVPR.2017.195,1610.02357,,2375110,Computer Science; Mathematics,JournalArticle; Conference,deep learning; neural networks,2,citations=17926; influential=1936; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=7; query hits=2,"We present an interpretation of Inception modules in convolutional neural networks as being an intermediate step in-between regular convolution and the depthwise separable convolution operation (a depthwise convolution followed by a pointwise convolution). In this light, a depthwise separable convolution can be understood as an Inception module with a maximally large number of towers. This observation leads us to propose a novel deep convolutional neural network architecture inspired by Inception, where Inception modules have been replaced with depthwise separable convolutions. We show that this architecture, dubbed Xception, slightly outperforms Inception V3 on the ImageNet dataset (which Inception V3 was designed for), and significantly outperforms Inception V3 on a larger image classification dataset comprising 350 million images and 17,000 classes. Since the Xception architecture has the same number of parameters as Inception V3, the performance gains are not due to increased capacity but rather to a more efficient use of model parameters."
10,2016,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,"C. Qi, Hao Su, Kaichun Mo, L. Guibas",Computer Vision and Pattern Recognition,2016-12-02,17769,3263,353.546,Vision and Multimodal Learning,trustworthy-ai,machine-learning; vision; trustworthy-ai,Point cloud is an important type of geometric data structure.,"high citation signal (17,769); influential citation signal (3,263); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2017.16,https://www.semanticscholar.org/paper/d997beefc0922d97202789d2ac307c55c2c52fba,https://arxiv.org/pdf/1612.00593,10.1109/CVPR.2017.16,1612.00593,,5115938,Computer Science,JournalArticle; Conference,deep learning; neural networks,2,citations=17769; influential=3263; recognized venue; translation/trustworthiness signal; open PDF metadata; title AI matches=2; AI term matches=5; query hits=2,"Point cloud is an important type of geometric data structure. Due to its irregular format, most researchers transform such data to regular 3D voxel grids or collections of images. This, however, renders data unnecessarily voluminous and causes issues. In this paper, we design a novel type of neural network that directly consumes point clouds, which well respects the permutation invariance of points in the input. Our network, named PointNet, provides a unified architecture for applications ranging from object classification, part segmentation, to scene semantic parsing. Though simple, PointNet is highly efficient and effective. Empirically, it shows strong performance on par or even better than state of the art. Theoretically, we provide analysis towards understanding of what the network has learnt and why the network is robust with respect to input perturbation and corruption."
