rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
53,1,1,2007,Classification and Regression by randomForest,"Andy Liaw, M. Wiener",,,19408,1114,322.449,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Classification and Regression by randomForest within General AI Methods and Systems.,"high citation signal (19,408); influential citation signal (1,114)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/6e633b41d93051375ef9135102d54fa097dc8cf8,https://www.semanticscholar.org/paper/6e633b41d93051375ef9135102d54fa097dc8cf8,,,,,,3093707,Computer Science; Mathematics,,machine learning; neural networks; support vector machines,3,citations=19408; influential=1114; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
158,2,2,2007,Learning Deep Architectures for AI,Yoshua Bengio,Found. Trends Mach. Learn.,,8831,509,294.177,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Learning Deep Architectures for AI within General AI Methods and Systems.,"high citation signal (8,831); influential citation signal (509); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1561/2200000006,https://www.semanticscholar.org/paper/d04d6db5f0df11d0cff57ec7e15134990ac07a4f,,,10.1561/2200000006,,,207178999,Computer Science,JournalArticle,deep learning; machine learning; neural networks,3,citations=8831; influential=509; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
256,3,3,2007,Top 10 algorithms in data mining,"Xindong Wu, Vipin Kumar, J. R. Quinlan, Joydeep Ghosh, Qiang Yang, H. Motoda, G. McLachlan, Angus F. M. Ng, et al.",Knowledge and Information Systems,2007-12-19,5996,234,271.813,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Top 10 algorithms in data mining within General AI Methods and Systems.,"high citation signal (5,996); influential citation signal (234)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/s10115-007-0114-2,https://www.semanticscholar.org/paper/a83d6476bd25c3cc1cbfb89eab245a8fa895ece8,,,10.1007/s10115-007-0114-2,,,2367747,Computer Science; Mathematics,JournalArticle; Review,data mining,1,citations=5996; influential=234; open PDF metadata; title AI matches=1; AI term matches=1,
327,4,4,2007,Supervised Machine Learning: A Review of Classification Techniques,S. Kotsiantis,Informatica,2007-06-10,5022,265,277.648,General AI Methods and Systems,survey/review,machine-learning,Positions Supervised Machine Learning: A Review of Classification Techniques within General AI Methods and Systems.,"high citation signal (5,022); influential citation signal (265)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/f1b962fb4070fedd46758e334db3ba4f00ddc3ec,https://www.semanticscholar.org/paper/f1b962fb4070fedd46758e334db3ba4f00ddc3ec,,,,,,47128183,Computer Science,JournalArticle; Review,machine learning,1,citations=5022; influential=265; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=2,
375,5,5,2007,A review of feature selection techniques in bioinformatics,"Yvan Saeys, Iñaki Inza, P. Larrañaga",Bioinform.,2007-09-10,4447,154,265.413,General AI Methods and Systems,survey/review,machine-learning,Feature selection techniques have become an apparent need in many bioinformatics applications.,"high citation signal (4,447); influential citation signal (154); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1093/bioinformatics/btm344,https://www.semanticscholar.org/paper/98c25683fc8d6446448b734b1bcf08e1457f8d85,https://oa.upm.es/73113/1/LARRANAGA_2007_05.pdf,,10.1093/bioinformatics/btm344,,17720704,11894197,Biology; Computer Science; Medicine,Review; JournalArticle,data mining; machine learning,2,citations=4447; influential=154; survey/benchmark signal; open PDF metadata; AI term matches=2; query hits=2,"Feature selection techniques have become an apparent need in many bioinformatics applications. In addition to the large pool of techniques that have already been developed in the machine learning and data mining fields, specific applications in bioinformatics have led to a wealth of newly proposed techniques. In this article, we make the interested reader aware of the possibilities of feature selection, providing a basic taxonomy of feature selection techniques, and discussing their use, variety and potential in a number of both common as well as upcoming bioinformatics applications."
641,6,6,2007,A survey of image classification methods and techniques for improving classification performance,"D. Lu, Qihao Weng",,2007-02-15,3044,127,256.396,Vision and Multimodal Learning,survey/review,machine-learning; vision,Positions A survey of image classification methods and techniques for improving classification performance within Vision and Multimodal Learning.,"high citation signal (3,044); influential citation signal (127)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1080/01431160600746456,https://www.semanticscholar.org/paper/5f07f1301d6515464b35c0625ef3e4f05b240377,,,10.1080/01431160600746456,,,9985555,Computer Science; Environmental Science,Review,neural networks,1,citations=3044; influential=127; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=2,
661,7,7,2007,A survey of named entity recognition and classification,"David Nadeau, S. Sekine",,,2976,188,258.355,General AI Methods and Systems,survey/review,machine-learning,Positions A survey of named entity recognition and classification within General AI Methods and Systems.,"high citation signal (2,976); influential citation signal (188)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1075/li.30.1.03nad,https://www.semanticscholar.org/paper/4a554da55fd9ff76c99e25d2ce937b225dc1100c,,,10.1075/LI.30.1.03NAD,,,8310135,Computer Science; Linguistics,Review,machine learning,1,citations=2976; influential=188; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=1,
714,8,8,2007,Learning Bayesian networks,R. Neapolitan,Knowledge Discovery and Data Mining,2007-08-12,2829,225,255.744,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,Preface. I. BASICS. 1. Introduction to Bayesian Networks.,"high citation signal (2,829); influential citation signal (225)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1145/1327942.1327961,https://www.semanticscholar.org/paper/d7cf0e940fe0d909c8c87450ee18f03450b2e208,,,10.1145/1327942.1327961,,,2316614,Computer Science; Mathematics,,bayesian networks,1,citations=2829; influential=225; open PDF metadata; title AI matches=1; AI term matches=2,Preface. I. BASICS. 1. Introduction to Bayesian Networks. 2. More DAG/Probability Relationships. II. INFERENCE. 3. Inference: Discrete Variables. 4. More Inference Algorithms. 5. Influence Diagrams. III. LEARNING. 6. Parameter Learning: Binary Variables. 7. More Parameter Learning. 8. Bayesian Structure Learning. 9. Approximate Bayesian Structure Learning. 10. Constraint-Based Learning. 11. More Structure Learning. IV. APPICATIONS. 12. Applications. Bibliography. Index.
759,9,9,2007,Ensemble Methods in Machine Learning,Thomas G. Dietterich,,,2691,107,243.307,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions Ensemble Methods in Machine Learning within Graph Learning, Recommendation, and Core Methods.","high citation signal (2,691); influential citation signal (107)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://www.semanticscholar.org/paper/bf2827963894ed234db7d5a0d9474e1046531ad8,https://www.semanticscholar.org/paper/bf2827963894ed234db7d5a0d9474e1046531ad8,,,,,,10765854,Computer Science; Mathematics,Review,machine learning,1,citations=2691; influential=107; open PDF metadata; title AI matches=1; AI term matches=1,
846,10,10,2007,CPC: assess the protein-coding potential of transcripts using sequence features and support vector machine,"Lei Kong, Yong Zhang, Zhi-Qiang Ye, Xiao-Qiao Liu, Shuqi Zhao, Liping Wei, Ge Gao",Nucleic Acids Res.,2007-07-01,2472,268,262.216,"AI for Science, Healthcare, and Robotics",benchmark/dataset; ai4science,machine-learning; ai4science,Recent transcriptome studies have revealed that a large number of transcripts in mammals and other organisms do not encode proteins but function as noncoding RNAs (ncRNAs) instead.,"high citation signal (2,472); influential citation signal (268); open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1093/nar/gkm391,https://www.semanticscholar.org/paper/5bdf59970d48034eb39bc9009af8fe271b60ecba,,,10.1093/nar/gkm391,,17631615,7824801,Biology; Computer Science; Medicine,JournalArticle,support vector machines,1,citations=2472; influential=268; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=1,"Recent transcriptome studies have revealed that a large number of transcripts in mammals and other organisms do not encode proteins but function as noncoding RNAs (ncRNAs) instead. As millions of transcripts are generated by large-scale cDNA and EST sequencing projects every year, there is a need for automatic methods to distinguish protein-coding RNAs from noncoding RNAs accurately and quickly. We developed a support vector machine-based classifier, named Coding Potential Calculator (CPC), to assess the protein-coding potential of a transcript based on six biologically meaningful sequence features. Tenfold cross-validation on the training dataset and further testing on several large datasets showed that CPC can discriminate coding from noncoding transcripts with high accuracy. Furthermore, CPC also runs an order-of-magnitude faster than a previous state-of-the-art tool and has higher accuracy. We developed a user-friendly web-based interface of CPC at http://cpc.cbi.pku.edu.cn. In addition to predicting the coding potential of the input transcripts, the CPC web server also graphically displays detailed sequence features and additional annotations of the transcript that may facilitate users’ further investigation."
