candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2006,Supporting Online Material for Reducing the Dimensionality of Data with Neural Networks,"Geoffrey E. Hinton, R. Salakhutdinov",,,8907,587,296.358,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Supporting Online Material for Reducing the Dimensionality of Data with Neural Networks within General AI Methods and Systems.,"high citation signal (8,907); influential citation signal (587)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/02552a8b40f3a82a5353f596264db71d899a9b4a,https://www.semanticscholar.org/paper/02552a8b40f3a82a5353f596264db71d899a9b4a,,,,,288310529,Computer Science,,neural networks,1,citations=8907; influential=587; open PDF metadata; title AI matches=2; AI term matches=2,
2,2006,Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,"Alex Graves, Santiago Fernández, Faustino J. Gomez, Jürgen Schmidhuber",International Conference on Machine Learning,2006-06-25,5221,771,302.42,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks within General AI Methods and Systems.,"high citation signal (5,221); influential citation signal (771); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1145/1143844.1143891,https://www.semanticscholar.org/paper/261a056f8b21918e8616a429b2df6e1d5d33be41,,10.1145/1143844.1143891,,,9901844,Computer Science,Book; JournalArticle; Conference,neural networks,1,citations=5221; influential=771; recognized venue; open PDF metadata; title AI matches=3; AI term matches=4,
3,2006,NLTK: The Natural Language Toolkit,Steven Bird,Annual Meeting of the Association for Computational Linguistics,,5187,319,271.947,Natural Language Processing and Knowledge,metadata-ranked,nlp,"The Natural Language Toolkit is a suite of program modules, data sets and tutorials supporting research and teaching in computational linguistics and natural language processing.","high citation signal (5,187); influential citation signal (319); open-access PDF metadata","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.3115/1225403.1225421,https://www.semanticscholar.org/paper/6ed9417eaa7ee16f0563599829a061421a3e0563,https://dl.acm.org/doi/pdf/10.3115/1225403.1225421,10.3115/1225403.1225421,,,1438450,Computer Science; Linguistics,JournalArticle; Conference; Review,natural language processing,1,citations=5187; influential=319; open PDF metadata; AI term matches=2,"The Natural Language Toolkit is a suite of program modules, data sets and tutorials supporting research and teaching in computational linguistics and natural language processing. NLTK is written in Python and distributed under the GPL open source license. Over the past year the toolkit has been rewritten, simplifying many linguistic data structures and taking advantage of recent enhancements in the Python language. This paper reports on the simpli-ﬁed toolkit and explains how it is used in teaching NLP."
4,2006,Machine Learning for High-Speed Corner Detection,"E. Rosten, T. Drummond",European Conference on Computer Vision,2006-05-07,5044,477,278.95,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,Positions Machine Learning for High-Speed Corner Detection within Vision and Multimodal Learning.,"high citation signal (5,044); influential citation signal (477); open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1007/11744023_34,https://www.semanticscholar.org/paper/e0408181bccb7e3754dd5e6785ec47d8beb8b6bd,https://link.springer.com/content/pdf/10.1007/11744023_34.pdf,10.1007/11744023_34,,,1388140,Computer Science,JournalArticle; Conference,machine learning,1,citations=5044; influential=477; open PDF metadata; title AI matches=1; AI term matches=2,
5,2006,Introduction to Statistical Pattern Recognition,"P. Pudil, P. Somol, M. Haindl",,,4601,519,279.107,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Introduction to Statistical Pattern Recognition within General AI Methods and Systems.,"high citation signal (4,601); influential citation signal (519)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1002/0470854774.ch1,https://www.semanticscholar.org/paper/0b2a2ed870d9e947aca41daf751d987ab3163d74,,10.1002/0470854774.ch1,,,16665343,Computer Science; Mathematics,,machine learning; pattern recognition,2,citations=4601; influential=519; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
6,2006,A Survey of Clustering Data Mining Techniques,P. Berkhin,Grouping Multidimensional Data,,3362,156,261.44,General AI Methods and Systems,survey/review,machine-learning,Positions A Survey of Clustering Data Mining Techniques within General AI Methods and Systems.,"high citation signal (3,362); influential citation signal (156)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/3-540-28349-8_2,https://www.semanticscholar.org/paper/26f178dbb00630ce19cccb9840ea12dbe31801be,,10.1007/3-540-28349-8_2,,,220665,Computer Science; Mathematics,Review,data mining,1,citations=3362; influential=156; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=2,
7,2006,Universal Approximation using Incremental Constructive Feedforward Networks with Random Hidden Nodes,"G. Huang, Lei Chen, C. Siew",IEEE Transactions on Neural Networks,2006-07-01,2565,207,260.428,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Universal Approximation using Incremental Constructive Feedforward Networks with Random Hidden Nodes within General AI Methods and Systems.,"high citation signal (2,565); influential citation signal (207); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1109/TNN.2006.875977,https://www.semanticscholar.org/paper/db5aa767a0e8ceb09e7202f708e15a37bbc7ca01,,10.1109/TNN.2006.875977,,16856652,6477031,Computer Science; Mathematics; Medicine,JournalArticle,neural networks,1,citations=2565; influential=207; recognized venue; open PDF metadata; AI term matches=2,
8,2006,Multiple view geometry in computer vision (2. ed.),"Andrew Harltey, Andrew Zisserman",,,2262,251,251.35,Vision and Multimodal Learning,metadata-ranked,vision,Positions Multiple view geometry in computer vision (2. ed.) within Vision and Multimodal Learning.,"high citation signal (2,262); influential citation signal (251)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/5888d7dad8a2f825be1f573a5a90ef058cf946de,https://www.semanticscholar.org/paper/5888d7dad8a2f825be1f573a5a90ef058cf946de,,,,,8641226,Computer Science; Mathematics,,computer vision,1,citations=2262; influential=251; open PDF metadata; title AI matches=1; AI term matches=1,
9,2006,Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study,"Jianguo Zhang, Marcin Marszalek, Svetlana Lazebnik, C. Schmid",2006 Conference on Computer Vision and Pattern Recognition Workshop (CVPRW'06),2006-06-17,2190,139,254.409,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,Positions Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study within Vision and Multimodal Learning.,"high citation signal (2,190); influential citation signal (139); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1007/s11263-006-9794-4,https://www.semanticscholar.org/paper/dee20a7ce7745fc367c8bc7ede4f7b8c22efa52d,https://hal.inria.fr/inria-00548574/file/ZhangMarszalekLazebnikSchmid-BP06-ClassificationStudy.pdf,10.1007/s11263-006-9794-4,,,1486613,Computer Science; Mathematics,JournalArticle; Conference,support vector machines,1,citations=2190; influential=139; recognized venue; open PDF metadata; title AI matches=1; AI term matches=3,
10,2006,The max-min hill-climbing Bayesian network structure learning algorithm,"I. Tsamardinos, Laura E. Brown, C. Aliferis",Machine-mediated learning,2006-10-01,2181,303,253.174,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions The max-min hill-climbing Bayesian network structure learning algorithm within Graph Learning, Recommendation, and Core Methods.","high citation signal (2,181); influential citation signal (303); open-access PDF metadata","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1007/s10994-006-6889-7,https://www.semanticscholar.org/paper/40414d71c9706806960f6551a1ff53cc87488899,https://link.springer.com/content/pdf/10.1007/s10994-006-6889-7.pdf,10.1007/s10994-006-6889-7,,,6887420,Computer Science,JournalArticle,bayesian networks,1,citations=2181; influential=303; open PDF metadata; title AI matches=1; AI term matches=1,
