rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
46,1,1,2001,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","T. Hastie, J. Friedman, R. Tibshirani",Springer Series in Statistics,,21652,1197,322.862,General AI Methods and Systems,metadata-ranked,machine-learning,"Positions The Elements of Statistical Learning: Data Mining, Inference, and Prediction within General AI Methods and Systems.","high citation signal (21,652); influential citation signal (1,197)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/978-0-387-84858-7,https://www.semanticscholar.org/paper/4cd4ccd9225f0a3c79cd4c72bd171039e28f2ab6,,,10.1007/978-0-387-84858-7,,,58068920,Computer Science; Mathematics,,data mining,1,citations=21652; influential=1197; open PDF metadata; title AI matches=1; AI term matches=1,
58,2,2,2001,Multiple View Geometry in Computer Vision,Bernhard P. Wrobel,Künstliche Intell.,,18607,2218,328.157,Vision and Multimodal Learning,metadata-ranked,vision,Positions Multiple View Geometry in Computer Vision within Vision and Multimodal Learning.,"high citation signal (18,607); influential citation signal (2,218)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/d274dfd00aaac4c4f50030c489c31ea1b6169376,https://www.semanticscholar.org/paper/d274dfd00aaac4c4f50030c489c31ea1b6169376,,,,,,261497446,Computer Science,JournalArticle,computer vision,1,citations=18607; influential=2218; open PDF metadata; title AI matches=1; AI term matches=1,
151,3,3,2001,An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods,Tong Zhang,The AI Magazine,2001-06-15,9078,906,302.844,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods within Graph Learning, Recommendation, and Core Methods.","high citation signal (9,078); influential citation signal (906)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1609/aimag.v22i2.1566,https://www.semanticscholar.org/paper/0e90a73f03902cbe915af1aff54ea7f0b3373680,,,10.1609/aimag.v22i2.1566,,,42131894,Computer Science; Mathematics,JournalArticle,machine learning; support vector machines,2,citations=9078; influential=906; open PDF metadata; title AI matches=1; AI term matches=2; query hits=2,
152,4,4,2001,Machine learning in automated text categorization,F. Sebastiani,CSUR,2001-10-26,9067,745,303.081,Generative Models and Synthetic Media,survey/review,machine-learning; nlp,"The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital form and the ensuing need to organize them.","high citation signal (9,067); influential citation signal (745); open-access PDF metadata","Image and media quality metrics may not capture factuality, controllability, provenance, or downstream harms.; Training data provenance and copyright constraints can be under-specified in highly cited generation work.; Robust evaluation across cultures, modalities, and adversarial uses remains difficult.",https://doi.org/10.1145/505282.505283,https://www.semanticscholar.org/paper/6b20af22b0734757d9ead382b201a65f9dd637cc,http://arxiv.org/pdf/cs/0110053,,10.1145/505282.505283,cs/0110053,,3091,Computer Science,JournalArticle; Review,machine learning,1,citations=9067; influential=745; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=2,"The automated categorization (or classification) of texts into predefined categories has witnessed a booming interest in the last 10 years, due to the increased availability of documents in digital form and the ensuing need to organize them. In the research community the dominant approach to this problem is based on machine learning techniques: a general inductive process automatically builds a classifier by learning, from a set of preclassified documents, the characteristics of the categories. The advantages of this approach over the knowledge engineering approach (consisting in the manual definition of a classifier by domain experts) are a very good effectiveness, considerable savings in terms of expert labor power, and straightforward portability to different domains. This survey discusses the main approaches to text categorization that fall within the machine learning paradigm. We will discuss in detail issues pertaining to three different problems, namely, document representation, classifier construction, and classifier evaluation."
245,5,5,2001,Foundations of Statistical Natural Language Processing,P. Kantor,Information retrieval (Boston),2001-04-01,6162,509,283.261,Natural Language Processing and Knowledge,retrieval,nlp,Positions Foundations of Statistical Natural Language Processing within Natural Language Processing and Knowledge.,"high citation signal (6,162); influential citation signal (509)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.1023/A:1011424425034,https://www.semanticscholar.org/paper/f7566f1797eb36429acbb09e581d6b2918a50760,,,10.1023/A:1011424425034,,,115386587,Computer Science,JournalArticle,natural language processing,1,citations=6162; influential=509; open PDF metadata; title AI matches=1; AI term matches=1,
291,6,6,2001,"Learning with Kernels: support vector machines, regularization, optimization, and beyond","B. Scholkopf, Alex Smola",Adaptive computation and machine learning series,2001-12-07,5362,371,288.785,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions Learning with Kernels: support vector machines, regularization, optimization, and beyond within Graph Learning, Recommendation, and Core Methods.","high citation signal (5,362); influential citation signal (371); recognized venue","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.7551/mitpress/4175.001.0001,https://www.semanticscholar.org/paper/05357314fe2da7c2248b03d89b7ab9e358cbf01e,,,10.7551/mitpress/4175.001.0001,,,52872213,Computer Science; Mathematics,,machine learning; support vector machines,2,citations=5362; influential=371; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2; query hits=2,
319,7,7,2001,Bayesian Networks and Decision Graphs,F. Jensen,Statistics for Engineering and Information Science,,5084,341,285.436,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,ai4science,"Positions Bayesian Networks and Decision Graphs within Graph Learning, Recommendation, and Core Methods.","high citation signal (5,084); influential citation signal (341); recognized venue","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1007/978-1-4757-3502-4,https://www.semanticscholar.org/paper/2aef78ad47756436deecf6b3578d65dc37a61753,,,10.1007/978-1-4757-3502-4,,,42979791,Computer Science; Mathematics,,bayesian networks; natural language processing,2,citations=5084; influential=341; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
346,8,8,2001,Efficient behavior of small-world networks.,"V. Latora, Massimo Marchiori",Physical Review Letters,2001-01-25,4762,299,274.163,General AI Methods and Systems,survey/review,machine-learning,We introduce the concept of efficiency of a network as a measure of how efficiently it exchanges information.,"high citation signal (4,762); influential citation signal (299); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1103/PhysRevLett.87.198701,https://www.semanticscholar.org/paper/f45dce9b51785e2daa9939c1bd00febf1bd787d0,https://www.research.unipd.it/bitstream/11577/2476473/1/Efficient%20behavior%20of%20Small-World%20Networks.pdf,,10.1103/PhysRevLett.87.198701,cond-mat/0101396,11690461,15457305,Computer Science; Medicine; Physics,JournalArticle,neural networks,1,citations=4762; influential=299; survey/benchmark signal; open PDF metadata; AI term matches=2,"We introduce the concept of efficiency of a network as a measure of how efficiently it exchanges information. By using this simple measure, small-world networks are seen as systems that are both globally and locally efficient. This gives a clear physical meaning to the concept of ""small world,"" and also a precise quantitative analysis of both weighted and unweighted networks. We study neural networks and man-made communication and transportation systems and we show that the underlying general principle of their construction is in fact a small-world principle of high efficiency."
376,9,9,2001,Rapid object detection using a boosted cascade of simple features,"Paul A. Viola, Michael J. Jones",Proceedings of the 2001 IEEE Computer Society Conference on Computer Vision and Pattern Recognition. CVPR 2001,2001-12-08,4444,446,286.226,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,Positions Rapid object detection using a boosted cascade of simple features within Vision and Multimodal Learning.,"high citation signal (4,444); influential citation signal (446); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2001.990517,https://www.semanticscholar.org/paper/dc6ea0e30e46163b706f2f8bdc9c67ca87f83d63,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.10.6807,,10.1109/CVPR.2001.990517,,,2715202,Computer Science,JournalArticle; Conference,machine learning,1,citations=4444; influential=446; recognized venue; open PDF metadata; title AI matches=1; AI term matches=3,
384,10,10,2001,Principles of Data Mining,"D. Hand, H. Mannila, Padhraic Smyth",Undergraduate Topics in Computer Science,,4367,228,274.477,"AI for Science, Healthcare, and Robotics",metadata-ranked,machine-learning; ai4science,"Positions Principles of Data Mining within AI for Science, Healthcare, and Robotics.","high citation signal (4,367); influential citation signal (228); recognized venue","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1007/978-1-84628-766-4,https://www.semanticscholar.org/paper/9d1896f86c8d504cf8822468e84534a9d671095a,,,10.1007/978-1-84628-766-4,,17604416,45746,Computer Science; Medicine,JournalArticle; Review,data mining,1,citations=4367; influential=228; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1,
476,11,11,2001,Atmospheric Chemistry and Physics Discussions Interactive comment on “ Long-term solar UV radiation reconstructed by Artificial Neural Networks ( ANN ) ”,,,,3803,502,275.452,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Atmospheric Chemistry and Physics Discussions Interactive comment on “ Long-term solar UV radiation reconstructed by Artificial Neural Networks ( ANN ) ” within General AI Methods and Systems.,"high citation signal (3,803); influential citation signal (502)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/00a584fab725d5086d3f441e0566462c10ab0d16,https://www.semanticscholar.org/paper/00a584fab725d5086d3f441e0566462c10ab0d16,,,,,,4710065,Environmental Science; Physics,,neural networks,1,citations=3803; influential=502; open PDF metadata; title AI matches=2; AI term matches=2,
478,12,12,2001,An introduction to kernel-based learning algorithms,"K. Müller, S. Mika, Gunnar Rätsch, K. Tsuda, B. Scholkopf",IEEE Trans. Neural Networks,2001-03-01,3777,165,257.781,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,graph-learning,"Positions An introduction to kernel-based learning algorithms within Graph Learning, Recommendation, and Core Methods.","high citation signal (3,777); influential citation signal (165)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1109/72.914517,https://www.semanticscholar.org/paper/1fcbefeb0beae4470cf40df74cd116b1d4bdcae4,,,10.1109/72.914517,,18244377,5894296,Computer Science; Mathematics; Medicine,JournalArticle,machine learning; support vector machines,2,citations=3777; influential=165; open PDF metadata; AI term matches=2; query hits=2,
589,13,13,2001,The''echo state''approach to analysing and training recurrent neural networks,Herbert Jaeger,,,3220,577,273.738,General AI Methods and Systems,metadata-ranked,machine-learning,Positions The''echo state''approach to analysing and training recurrent neural networks within General AI Methods and Systems.,"high citation signal (3,220); influential citation signal (577)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/8430c0b9afa478ae660398704b11dca1221ccf22,https://www.semanticscholar.org/paper/8430c0b9afa478ae660398704b11dca1221ccf22,,,,,,15467150,Computer Science,,neural networks,1,citations=3220; influential=577; open PDF metadata; title AI matches=2; AI term matches=2,
708,14,14,2001,Classification and diagnostic prediction of cancers using gene expression profiling and artificial neural networks,"J. Khan, Jun S. Wei, M. Ringnér, L. Saal, M. Ladanyi, F. Westermann, F. Berthold, M. Schwab, et al.",Nature Medicine,2001-06-01,2841,192,268.627,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Classification and diagnostic prediction of cancers using gene expression profiling and artificial neural networks within General AI Methods and Systems.,"high citation signal (2,841); influential citation signal (192); recognized venue; open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1038/89044,https://www.semanticscholar.org/paper/606d209492e8374131e9b3bcfb631ea078f987e5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1282521,,10.1038/89044,,11385503,10205866,Biology; Computer Science; Medicine,JournalArticle,neural networks,1,citations=2841; influential=192; recognized venue; open PDF metadata; title AI matches=3; AI term matches=3,
721,15,15,2001,The handbook of brain theory and neural networks /,"M. Arbib, Peter Fgldibk, Malcolm P. Young",,,2802,61,239.426,General AI Methods and Systems,metadata-ranked,machine-learning,Positions The handbook of brain theory and neural networks / within General AI Methods and Systems.,"high citation signal (2,802); influential citation signal (61)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/eebb51ea332b5109523b2bdb7f224172b537547f,https://www.semanticscholar.org/paper/eebb51ea332b5109523b2bdb7f224172b537547f,,,,,,16312222,Biology,,neural networks,1,citations=2802; influential=61; open PDF metadata; title AI matches=2; AI term matches=2,
