rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
3,1,1,2012,ImageNet classification with deep convolutional neural networks,"A. Krizhevsky, I. Sutskever, Geoffrey E. Hinton",Communications of the ACM,2012-12-03,129676,13395,402.04,Vision and Multimodal Learning,metadata-ranked,machine-learning,Positions ImageNet classification with deep convolutional neural networks within Vision and Multimodal Learning.,"high citation signal (129,676); influential citation signal (13,395); open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1145/3065386,https://www.semanticscholar.org/paper/abd1c342495432171beb7ca8fd9551ef13cbd0ff,http://dl.acm.org/ft_gateway.cfm?id=3065386&type=pdf,10.1145/3065386,,,195908774,Computer Science,JournalArticle,neural networks,1,citations=129676; influential=13395; open PDF metadata; title AI matches=3; AI term matches=3,
74,2,2,2012,Are we ready for autonomous driving? The KITTI vision benchmark suite,"Andreas Geiger, Philip Lenz, R. Urtasun",2012 IEEE Conference on Computer Vision and Pattern Recognition,2012-06-16,15202,2668,343.296,"AI for Science, Healthcare, and Robotics",benchmark/dataset,machine-learning; vision; ai4science,"Positions Are we ready for autonomous driving? The KITTI vision benchmark suite within AI for Science, Healthcare, and Robotics.","high citation signal (15,202); influential citation signal (2,668); recognized venue","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1109/CVPR.2012.6248074,https://www.semanticscholar.org/paper/de5b0fd02ea4f4d67fe3ae0d74603b9822df4e42,,10.1109/CVPR.2012.6248074,,,6724907,Computer Science; Engineering,JournalArticle; Conference,computer vision,1,citations=15202; influential=2668; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2,
76,3,3,2012,Pattern Classification,Shigeo Abe DrEng,Springer London,2012-10-04,15047,1303,316.043,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Pattern Classification within General AI Methods and Systems.,"high citation signal (15,047); influential citation signal (1,303)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/978-1-4471-0285-4,https://www.semanticscholar.org/paper/4dabf9538be652910be449fb47a225b99fc6c69b,,10.1007/978-1-4471-0285-4,,,9384346,Computer Science; Mathematics,,neural networks,1,citations=15047; influential=1303; open PDF metadata; title AI matches=1; AI term matches=1,
86,4,4,2012,Representation Learning: A Review and New Perspectives,"Yoshua Bengio, Aaron C. Courville, P. Vincent",IEEE Transactions on Pattern Analysis and Machine Intelligence,2012-06-24,13937,584,323.135,"Representation, Self-Supervised, and Transfer Learning",survey/review,machine-learning,"The success of machine learning algorithms generally depends on data representation, and we hypothesize that this is because different representations can entangle and hide more or less the different explanatory factors of variation behind the data.","high citation signal (13,937); influential citation signal (584); recognized venue; open-access PDF metadata","Transfer claims depend heavily on downstream task choice, data overlap, and evaluation protocol.; Contrastive and self-supervised methods can learn spurious shortcuts when augmentations or negatives are poorly matched.; Representation quality is hard to compare when model size, data scale, and training recipes differ.",https://doi.org/10.1109/TPAMI.2013.50,https://www.semanticscholar.org/paper/184ac0766262312ba76bbdece4e7ffad0aa8180b,http://arxiv.org/pdf/1206.5538,10.1109/TPAMI.2013.50,1206.5538,23787338,393948,Computer Science; Mathematics; Medicine,Review; JournalArticle,deep learning; machine learning,2,citations=13937; influential=584; recognized venue; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=2,"The success of machine learning algorithms generally depends on data representation, and we hypothesize that this is because different representations can entangle and hide more or less the different explanatory factors of variation behind the data. Although specific domain knowledge can be used to help design representations, learning with generic priors can also be used, and the quest for AI is motivating the design of more powerful representation-learning algorithms implementing such priors. This paper reviews recent work in the area of unsupervised feature learning and deep learning, covering advances in probabilistic models, autoencoders, manifold learning, and deep networks. This motivates longer term unanswered questions about the appropriate objectives for learning good representations, for computing representations (i.e., inference), and the geometrical connections between representation learning, density estimation, and manifold learning."
119,5,5,2012,Machine learning - a probabilistic perspective,Kevin P. Murphy,Adaptive computation and machine learning series,,10239,1215,316.596,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Machine learning - a probabilistic perspective within General AI Methods and Systems.,"high citation signal (10,239); influential citation signal (1,215); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/360ca02e6f5a5e1af3dce4866a257aafc2d6d6f5,https://www.semanticscholar.org/paper/360ca02e6f5a5e1af3dce4866a257aafc2d6d6f5,,,,,17793133,Computer Science; Mathematics,,machine learning,1,citations=10239; influential=1215; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1,
139,6,6,2012,Practical Bayesian Optimization of Machine Learning Algorithms,"Jasper Snoek, H. Larochelle, Ryan P. Adams",Neural Information Processing Systems,2012-06-13,9467,630,300.687,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,The use of machine learning algorithms frequently involves careful tuning of learning parameters and model hyperparameters.,"high citation signal (9,467); influential citation signal (630)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://www.semanticscholar.org/paper/2e2089ae76fe914706e6fa90081a79c8fe01611e,https://www.semanticscholar.org/paper/2e2089ae76fe914706e6fa90081a79c8fe01611e,,,1206.2944,,632197,Computer Science; Mathematics,JournalArticle; Conference,bayesian networks; machine learning; neural networks,3,citations=9467; influential=630; open PDF metadata; title AI matches=1; AI term matches=3; query hits=3,"The use of machine learning algorithms frequently involves careful tuning of learning parameters and model hyperparameters. Unfortunately, this tuning is often a ""black art"" requiring expert experience, rules of thumb, or sometimes brute-force search. There is therefore great appeal for automatic approaches that can optimize the performance of any given learning algorithm to the problem at hand. In this work, we consider this problem through the framework of Bayesian optimization, in which a learning algorithm's generalization performance is modeled as a sample from a Gaussian process (GP). We show that certain choices for the nature of the GP, such as the type of kernel and the treatment of its hyperparameters, can play a crucial role in obtaining a good optimizer that can achieve expertlevel performance. We describe new algorithms that take into account the variable cost (duration) of learning algorithm experiments and that can leverage the presence of multiple cores for parallel experimentation. We show that these proposed algorithms improve on previous automatic procedures and can reach or surpass human expert-level optimization for many algorithms including latent Dirichlet allocation, structured SVMs and convolutional neural networks."
184,7,7,2012,Improving neural networks by preventing co-adaptation of feature detectors,"Geoffrey E. Hinton, Nitish Srivastava, A. Krizhevsky, I. Sutskever, R. Salakhutdinov",arXiv.org,2012-07-02,8013,724,304.963,Natural Language Processing and Knowledge,benchmark/dataset,machine-learning,"When a large feedforward neural network is trained on a small training set, it typically performs poorly on held-out test data.","high citation signal (8,013); influential citation signal (724)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://www.semanticscholar.org/paper/0060745e006c5f14ec326904119dca19c6545e51,https://www.semanticscholar.org/paper/0060745e006c5f14ec326904119dca19c6545e51,,,1207.0580,,14832074,Computer Science,JournalArticle,neural networks,1,citations=8013; influential=724; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=2,"When a large feedforward neural network is trained on a small training set, it typically performs poorly on held-out test data. This ""overfitting"" is greatly reduced by randomly omitting half of the feature detectors on each training case. This prevents complex co-adaptations in which a feature detector is only helpful in the context of several other specific feature detectors. Instead, each neuron learns to detect a feature that is generally helpful for producing the correct answer given the combinatorially large variety of internal contexts in which it must operate. Random ""dropout"" gives big improvements on many benchmark tasks and sets new records for speech and object recognition."
222,8,8,2012,Sentiment Analysis and Opinion Mining,"Lei Zhang, B. Liu",Synthesis Lectures on Human Language Technologies,2012-05-01,6819,489,290.929,Natural Language Processing and Knowledge,survey/review,machine-learning; nlp; ai4science,"Sentiment analysis and opinion mining is the field of study that analyzes people's opinions, sentiments, evaluations, attitudes, and emotions from written language.","high citation signal (6,819); influential citation signal (489)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.2200/s00416ed1v01y201204hlt016,https://www.semanticscholar.org/paper/33c95f4d13958e65e676a9cd64bd4d8df0fdb44d,,10.2200/s00416ed1v01y201204hlt016,,,38022159,Computer Science; Engineering; Linguistics,Review,data mining; natural language processing,2,citations=6819; influential=489; survey/benchmark signal; open PDF metadata; AI term matches=2; query hits=2,"Sentiment analysis and opinion mining is the field of study that analyzes people's opinions, sentiments, evaluations, attitudes, and emotions from written language. It is one of the most active research areas in natural language processing and is also widely studied in data mining, Web mining, and text mining. In fact, this research has spread outside of computer science to the management sciences and social sciences due to its importance to business and society as a whole. The growing importance of sentiment analysis coincides with the growth of social media such as reviews, forum discussions, blogs, micro-blogs, Twitter, and social networks. For the first time in human history, we now have a huge volume of opinionated data recorded in digital form for analysis. Sentiment analysis systems are being applied in almost every business and social domain because opinions are central to almost all human activities and are key influencers of our behaviors. Our beliefs and perceptions of reality, and the choices we make, are largely conditioned on how others see and evaluate the world. For this reason, when we need to make a decision we often seek out the opinions of others. This is true not only for individuals but also for organizations. This book is a comprehensive introductory and survey text. It covers all important topics and the latest developments in the field with over 400 references. It is suitable for students, researchers and practitioners who are interested in social media analysis in general and sentiment analysis in particular. Lecturers can readily use it in class for courses on natural language processing, social media analysis, text mining, and data mining. Lecture slides are also available online."
265,9,9,2012,On the difficulty of training recurrent neural networks,"Razvan Pascanu, Tomas Mikolov, Yoshua Bengio",International Conference on Machine Learning,2012-11-21,5957,389,292.761,Vision and Multimodal Learning,metadata-ranked,machine-learning,"There are two widely known issues with properly training recurrent neural networks, the vanishing and the exploding gradient problems detailed in Bengio et al.","high citation signal (5,957); influential citation signal (389); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/84069287da0a6b488b8c933f3cb5be759cb6237e,https://www.semanticscholar.org/paper/84069287da0a6b488b8c933f3cb5be759cb6237e,,,1211.5063,,14650762,Computer Science; Mathematics,JournalArticle; Conference,neural networks,1,citations=5957; influential=389; recognized venue; open PDF metadata; title AI matches=2; AI term matches=3,"There are two widely known issues with properly training recurrent neural networks, the vanishing and the exploding gradient problems detailed in Bengio et al. (1994). In this paper we attempt to improve the understanding of the underlying issues by exploring these problems from an analytical, a geometric and a dynamical systems perspective. Our analysis is used to justify a simple yet effective solution. We propose a gradient norm clipping strategy to deal with exploding gradients and a soft constraint for the vanishing gradients problem. We validate empirically our hypothesis and proposed solutions in the experimental section."
270,10,10,2012,The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web],L. Deng,IEEE Signal Processing Magazine,2012-10-18,5904,706,286.893,Vision and Multimodal Learning,metadata-ranked,machine-learning,Positions The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web] within Vision and Multimodal Learning.,"high citation signal (5,904); influential citation signal (706)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/MSP.2012.2211477,https://www.semanticscholar.org/paper/46f74231b9afeb0c290d6d550043c55045284e5f,,10.1109/MSP.2012.2211477,,,5280072,Computer Science; Engineering,JournalArticle,machine learning,1,citations=5904; influential=706; open PDF metadata; title AI matches=1; AI term matches=1,
