candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2005,Survey of clustering algorithms,"Rui Xu, D. Wunsch",IEEE Transactions on Neural Networks,2005-05-01,6531,278,293.095,General AI Methods and Systems,survey/review,machine-learning,Positions Survey of clustering algorithms within General AI Methods and Systems.,"high citation signal (6,531); influential citation signal (278); recognized venue; open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1109/TNN.2005.845141,https://www.semanticscholar.org/paper/08b43d84e6747e370ef307e2ada50675b414514a,http://axon.cs.byu.edu/Dan/678/papers/Cluster/Xu.pdf,10.1109/TNN.2005.845141,,15940994,191396,Computer Science; Mathematics; Medicine,Review; JournalArticle; Study,machine learning,1,citations=6531; influential=278; recognized venue; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=3,
2,2005,Distance Metric Learning for Large Margin Nearest Neighbor Classification,"Kilian Q. Weinberger, L. Saul",Neural Information Processing Systems,2005-12-05,5983,754,290.105,"Representation, Self-Supervised, and Transfer Learning",metadata-ranked,machine-learning,"Positions Distance Metric Learning for Large Margin Nearest Neighbor Classification within Representation, Self-Supervised, and Transfer Learning.","high citation signal (5,983); influential citation signal (754)","Transfer claims depend heavily on downstream task choice, data overlap, and evaluation protocol.; Contrastive and self-supervised methods can learn spurious shortcuts when augmentations or negatives are poorly matched.; Representation quality is hard to compare when model size, data scale, and training recipes differ.",https://doi.org/10.5555/1577069.1577078,https://www.semanticscholar.org/paper/78947497cbbffc691aac3f590d972130259af9ce,,10.5555/1577069.1577078,,,47325215,Computer Science; Mathematics,JournalArticle; Conference,machine learning; support vector machines,2,citations=5983; influential=754; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
3,2005,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,"Alex Graves, J. Schmidhuber",Neural Networks,2005-06-01,4988,328,276.475,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Framewise phoneme classification with bidirectional LSTM and other neural network architectures within General AI Methods and Systems.,"high citation signal (4,988); influential citation signal (328)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1016/j.neunet.2005.06.042,https://www.semanticscholar.org/paper/5536d42ce80e129be8cae172ed1b7659c769d31d,,10.1016/j.neunet.2005.06.042,,16112549,1856462,Computer Science; Medicine,JournalArticle,neural networks,1,citations=4988; influential=328; open PDF metadata; title AI matches=2; AI term matches=3,
4,2005,"The elements of statistical learning: data mining, inference and prediction",James Franklin,,2005-03-01,4735,270,272.615,General AI Methods and Systems,metadata-ranked,machine-learning,"Positions The elements of statistical learning: data mining, inference and prediction within General AI Methods and Systems.","high citation signal (4,735); influential citation signal (270)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/BF02985802,https://www.semanticscholar.org/paper/7fc70d4cc5118fdbc8e8807979eae8b61948ff91,,10.1007/BF02985802,,,124516008,Computer Science; Mathematics,,data mining; machine learning; neural networks; support vector machines,4,citations=4735; influential=270; open PDF metadata; title AI matches=1; AI term matches=1; query hits=4,
5,2005,"Learning a similarity metric discriminatively, with application to face verification","S. Chopra, R. Hadsell, Yann LeCun",Computer Vision and Pattern Recognition,2005-06-20,4564,245,275.45,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,"Positions Learning a similarity metric discriminatively, with application to face verification within Vision and Multimodal Learning.","high citation signal (4,564); influential citation signal (245); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2005.202,https://www.semanticscholar.org/paper/cfaae9b6857b834043606df3342d8dc97524aa9d,,10.1109/CVPR.2005.202,,,5555257,Computer Science; Mathematics,JournalArticle; Conference,pattern recognition,1,citations=4564; influential=245; recognized venue; open PDF metadata; AI term matches=2,
6,2005,Gaussian Processes for Machine Learning (Adaptive Computation and Machine Learning),"Carl E. Rasmussen, C. K. Williams",,2005-12-01,4387,726,280.751,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Gaussian Processes for Machine Learning (Adaptive Computation and Machine Learning) within General AI Methods and Systems.,"high citation signal (4,387); influential citation signal (726)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/8ca86e941da7254613a5d03dd7a6c36886fadc1d,https://www.semanticscholar.org/paper/8ca86e941da7254613a5d03dd7a6c36886fadc1d,,,,,262910797,Computer Science; Mathematics,,machine learning,1,citations=4387; influential=726; open PDF metadata; title AI matches=1; AI term matches=1,
7,2005,Random forest classifier for remote sensing classification,M. Pal,,2005-01-01,3105,154,251.512,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions Random forest classifier for remote sensing classification within Graph Learning, Recommendation, and Core Methods.","high citation signal (3,105); influential citation signal (154)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1080/01431160412331269698,https://www.semanticscholar.org/paper/69df1caff94c73addf54d6f43e803cbb0932ace4,,10.1080/01431160412331269698,,,131528125,Computer Science; Environmental Science,,support vector machines,1,citations=3105; influential=154; open PDF metadata; title AI matches=1; AI term matches=1,
8,2005,Data Mining And Knowledge Discovery Handbook,"O. Maimon, L. Rokach",,,2863,142,248.599,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Data Mining And Knowledge Discovery Handbook within General AI Methods and Systems.,"high citation signal (2,863); influential citation signal (142)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/b107408,https://www.semanticscholar.org/paper/9b8ca5fcde6faa654124803b2813e5590ba689a7,,10.1007/b107408,,,62538626,Computer Science,Review,data mining,1,citations=2863; influential=142; open PDF metadata; title AI matches=1; AI term matches=1,
9,2005,Toward integrating feature selection algorithms for classification and clustering,"Huan Liu, Lei Yu",IEEE Transactions on Knowledge and Data Engineering,2005-04-01,2855,151,262.392,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Toward integrating feature selection algorithms for classification and clustering within General AI Methods and Systems.,"high citation signal (2,855); influential citation signal (151); recognized venue; open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1109/TKDE.2005.66,https://www.semanticscholar.org/paper/185e7e2d397478d0d81b89c6f712b1fa7d62c979,http://www.cs.binghamton.edu/~lyu/publications/Liu-Yu05TKDE.pdf,10.1109/TKDE.2005.66,,,1607600,Computer Science,JournalArticle; Review,data mining,1,citations=2855; influential=151; recognized venue; open PDF metadata; title AI matches=2; AI term matches=2,
10,2005,Overview of the face recognition grand challenge,"P. Phillips, P. Flynn, W. T. Scruggs, K. Bowyer, Jin Chang, Kevin Hoffman, Joe Marques, Jaesik Min, et al.",Computer Vision and Pattern Recognition,2005-06-20,2783,366,270.171,Vision and Multimodal Learning,survey/review,machine-learning; vision,Positions Overview of the face recognition grand challenge within Vision and Multimodal Learning.,"high citation signal (2,783); influential citation signal (366); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2005.268,https://www.semanticscholar.org/paper/4f140022ae2a37b8186b34e690012a58fee0c820,,10.1109/CVPR.2005.268,,,844981,Computer Science,JournalArticle; Conference; Review,computer vision,1,citations=2783; influential=366; recognized venue; open PDF metadata; AI term matches=2,
