candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2025,Qwen3 Technical Report,"An Yang, Anfeng Li, Baosong Yang, Beichen Zhang, Binyuan Hui, Bo Zheng, Bowen Yu, Chang Gao, et al.",,2025-05-14,5958,850,291.688,Foundation Models and Large Language Models,transformer; reinforcement-learning,foundation-models; reinforcement-learning; github,"In this work, we present Qwen3, the latest version of the Qwen model family.","high citation signal (5,958); influential citation signal (850)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/d2d84d56f730f81d276a02b48d5d44db5bde0b4a,https://www.semanticscholar.org/paper/d2d84d56f730f81d276a02b48d5d44db5bde0b4a,,https://github.com/qwenlm/qwen3,,2505.09388,,278602855,Computer Science; Linguistics,,large language models,1,citations=5958; influential=850; resource signal; open PDF metadata; AI term matches=2,"In this work, we present Qwen3, the latest version of the Qwen model family. Qwen3 comprises a series of large language models (LLMs) designed to advance performance, efficiency, and multilingual capabilities. The Qwen3 series includes models of both dense and Mixture-of-Expert (MoE) architectures, with parameter scales ranging from 0.6 to 235 billion. A key innovation in Qwen3 is the integration of thinking mode (for complex, multi-step reasoning) and non-thinking mode (for rapid, context-driven responses) into a unified framework. This eliminates the need to switch between different models--such as chat-optimized models (e.g., GPT-4o) and dedicated reasoning models (e.g., QwQ-32B)--and enables dynamic mode switching based on user queries or chat templates. Meanwhile, Qwen3 introduces a thinking budget mechanism, allowing users to allocate computational resources adaptively during inference, thereby balancing latency and performance based on task complexity. Moreover, by leveraging the knowledge from the flagship models, we significantly reduce the computational resources required to build smaller-scale models, while ensuring their highly competitive performance. Empirical evaluations demonstrate that Qwen3 achieves state-of-the-art results across diverse benchmarks, including tasks in code generation, mathematical reasoning, agent tasks, etc., competitive against larger MoE models and proprietary models. Compared to its predecessor Qwen2.5, Qwen3 expands multilingual support from 29 to 119 languages and dialects, enhancing global accessibility through improved cross-lingual understanding and generation capabilities. To facilitate reproducibility and community-driven research and development, all Qwen3 models are publicly accessible under Apache 2.0."
2,2025,DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,"DeepSeek-AI, Daya Guo, Dejian Yang, Haowei Zhang, Jun-Mei Song, Ruoyu Zhang, R. Xu, Qihao Zhu, et al.",Nature,2025-01-22,5330,918,307.314,Foundation Models and Large Language Models,reinforcement-learning,foundation-models; reinforcement-learning,General reasoning represents a long-standing and formidable challenge in artificial intelligence (AI).,"high citation signal (5,330); influential citation signal (918); recognized venue","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1038/s41586-025-09422-z,https://www.semanticscholar.org/paper/2eed1fad9bbf887d4395de40f20144c4fafefd7f,,,10.1038/s41586-025-09422-z,2501.12948,40962978,275789950,Computer Science; Medicine,JournalArticle,artificial intelligence; foundation models; large language models; reinforcement learning,4,citations=5330; influential=918; recognized venue; open PDF metadata; title AI matches=1; AI term matches=6; query hits=4,"General reasoning represents a long-standing and formidable challenge in artificial intelligence (AI). Recent breakthroughs, exemplified by large language models (LLMs)1,2 and chain-of-thought (CoT) prompting3, have achieved considerable success on foundational reasoning tasks. However, this success is heavily contingent on extensive human-annotated demonstrations and the capabilities of models are still insufficient for more complex problems. Here we show that the reasoning abilities of LLMs can be incentivized through pure reinforcement learning (RL), obviating the need for human-labelled reasoning trajectories. The proposed RL framework facilitates the emergent development of advanced reasoning patterns, such as self-reflection, verification and dynamic strategy adaptation. Consequently, the trained model achieves superior performance on verifiable tasks such as mathematics, coding competitions and STEM fields, surpassing its counterparts trained through conventional supervised learning on human demonstrations. Moreover, the emergent reasoning patterns exhibited by these large-scale models can be systematically used to guide and enhance the reasoning capabilities of smaller models. A new artificial intelligence model, DeepSeek-R1, is introduced, demonstrating that the reasoning abilities of large language models can be incentivized through pure reinforcement learning, removing the need for human-annotated demonstrations."
3,2025,Qwen2.5-VL Technical Report,"Shuai Bai, Ke-qin Chen, Xuejing Liu, Jialin Wang, Wenbin Ge, Sibo Song, K. Dang, Peng Wang, et al.",arXiv.org,2025-02-19,4952,1218,295.651,Foundation Models and Large Language Models,transformer; trustworthy-ai; reinforcement-learning,foundation-models; multimodal; vision; reinforcement-learning; trustworthy-ai,"We introduce Qwen2.5-VL, the latest flagship model of Qwen vision-language series, which demonstrates significant advancements in both foundational capabilities and innovative functionalities.","high citation signal (4,952); influential citation signal (1,218)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2502.13923,https://www.semanticscholar.org/paper/f61cc9b5583c6295d5cd756ec0f34e4c003aab29,,,10.48550/arXiv.2502.13923,2502.13923,,276449796,Computer Science,JournalArticle,computer vision; foundation models,2,citations=4952; influential=1218; translation/trustworthiness signal; open PDF metadata; AI term matches=3; query hits=2,"We introduce Qwen2.5-VL, the latest flagship model of Qwen vision-language series, which demonstrates significant advancements in both foundational capabilities and innovative functionalities. Qwen2.5-VL achieves a major leap forward in understanding and interacting with the world through enhanced visual recognition, precise object localization, robust document parsing, and long-video comprehension. A standout feature of Qwen2.5-VL is its ability to localize objects using bounding boxes or points accurately. It provides robust structured data extraction from invoices, forms, and tables, as well as detailed analysis of charts, diagrams, and layouts. To handle complex inputs, Qwen2.5-VL introduces dynamic resolution processing and absolute time encoding, enabling it to process images of varying sizes and videos of extended durations (up to hours) with second-level event localization. This allows the model to natively perceive spatial scales and temporal dynamics without relying on traditional normalization techniques. By training a native dynamic-resolution Vision Transformer (ViT) from scratch and incorporating Window Attention, we reduce computational overhead while maintaining native resolution. As a result, Qwen2.5-VL excels not only in static image and document understanding but also as an interactive visual agent capable of reasoning, tool usage, and task execution in real-world scenarios such as operating computers and mobile devices. Qwen2.5-VL is available in three sizes, addressing diverse use cases from edge AI to high-performance computing. The flagship Qwen2.5-VL-72B model matches state-of-the-art models like GPT-4o and Claude 3.5 Sonnet, particularly excelling in document and diagram understanding. Additionally, Qwen2.5-VL maintains robust linguistic performance, preserving the core language competencies of the Qwen2.5 LLM."
4,2025,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,"Adam Suma, Sam Dauncey",arXiv.org,,4015,709,280.471,Reinforcement Learning and Agents,reinforcement-learning,reinforcement-learning,Positions DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning within Reinforcement Learning and Agents.,"high citation signal (4,015); influential citation signal (709)","Sample efficiency, reward misspecification, simulator bias, and safety under exploration remain persistent barriers.; Benchmark performance may not transfer to physical robots, human-facing tools, or open-ended environments.; Agentic systems need stronger evidence on reliability, recovery from errors, and long-horizon oversight.",https://doi.org/10.48550/arXiv.2501.12948,https://www.semanticscholar.org/paper/bf76cb3bd7a54c60138f9523ffb462a486c4807b,,,10.48550/arXiv.2501.12948,,,284488789,Computer Science,JournalArticle,large language models; reinforcement learning,2,citations=4015; influential=709; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
5,2025,Transparency In The reporting of Artificial INtelligence – the TITAN guideline,"R. Agha, Ginimol Mathew, Rasha Rashid, Ahmed Kerwan, A. Al-Jabir, C. Sohrabi, T. Franchi, Maria Nicola, et al.",Premier Journal of Science,,2052,21,226.07,"Trustworthy, Explainable, and Responsible AI",metadata-ranked,trustworthy-ai; ai4science,The use of AI in research and the literature is increasing.,"high citation signal (2,052); influential citation signal (21); recognized venue","Explanations can be persuasive without being faithful to model internals or decision processes.; Fairness, robustness, privacy, and safety metrics can conflict and require domain-specific tradeoffs.; Responsible AI results often need stronger deployment evidence beyond benchmark or synthetic settings.",https://doi.org/10.70389/pjs.100082,https://www.semanticscholar.org/paper/312e66bcee5bad5376a97f4d771ecdcca2c78078,,,10.70389/pjs.100082,,,278864344,Computer Science,JournalArticle,artificial intelligence,1,citations=2052; influential=21; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2,"The use of AI in research and the literature is increasing. The need for transparency is clear. Here we present a guideline to transparently reporting the use of AI in any manuscript in general. The guideline items cover; declaration, purpose and scope, AI tools and configuration, data inputs and safeguards, human oversight and verification, bias, ethics and regulatory compliance and reproducibility and transparency. This guide will evolve over time as technology, systems and behaviour evolve."
6,2025,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,"Qiying Yu, Zheng Zhang, Ruofei Zhu, Yufeng Yuan, Xiaochen Zuo, Yu Yue, Tiantian Fan, Gaohong Liu, et al.",arXiv.org,2025-03-18,2039,445,268.06,Foundation Models and Large Language Models,benchmark/dataset; reinforcement-learning,foundation-models; multimodal; reinforcement-learning,"Inference scaling empowers LLMs with unprecedented reasoning ability, with reinforcement learning as the core technique to elicit complex reasoning.","high citation signal (2,039); influential citation signal (445)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2503.14476,https://www.semanticscholar.org/paper/dd4cfde3e135f799a9a71b4f57e13a29de89f7e3,,,10.48550/arXiv.2503.14476,2503.14476,,277104124,Computer Science,JournalArticle,reinforcement learning,1,citations=2039; influential=445; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=2,"Inference scaling empowers LLMs with unprecedented reasoning ability, with reinforcement learning as the core technique to elicit complex reasoning. However, key technical details of state-of-the-art reasoning LLMs are concealed (such as in OpenAI o1 blog and DeepSeek R1 technical report), thus the community still struggles to reproduce their RL training results. We propose the $\textbf{D}$ecoupled Clip and $\textbf{D}$ynamic s$\textbf{A}$mpling $\textbf{P}$olicy $\textbf{O}$ptimization ($\textbf{DAPO}$) algorithm, and fully open-source a state-of-the-art large-scale RL system that achieves 50 points on AIME 2024 using Qwen2.5-32B base model. Unlike previous works that withhold training details, we introduce four key techniques of our algorithm that make large-scale LLM RL a success. In addition, we open-source our training code, which is built on the verl framework, along with a carefully curated and processed dataset. These components of our open-source system enhance reproducibility and support future research in large-scale LLM RL."
7,2025,Wan: Open and Advanced Large-Scale Video Generative Models,"Ang Wang, Baole Ai, Bin Wen, Chaojie Mao, Chen-Wei Xie, Di Chen, Feiwu Yu, Haiming Zhao, et al.",arXiv.org,2025-03-26,1887,618,269.945,Foundation Models and Large Language Models,benchmark/dataset; transformer; self-supervised; generative,generative-ai; vision; github,"This report presents Wan, a comprehensive and open suite of video foundation models designed to push the boundaries of video generation.","high citation signal (1,887); influential citation signal (618)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2503.20314,https://www.semanticscholar.org/paper/8877e9a5bf473404c35b758faa76905c202f0f36,,https://github.com/Wan-Video/Wan2.1,10.48550/arXiv.2503.20314,2503.20314,,277321639,Computer Science,JournalArticle,foundation models,1,citations=1887; influential=618; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=3,"This report presents Wan, a comprehensive and open suite of video foundation models designed to push the boundaries of video generation. Built upon the mainstream diffusion transformer paradigm, Wan achieves significant advancements in generative capabilities through a series of innovations, including our novel VAE, scalable pre-training strategies, large-scale data curation, and automated evaluation metrics. These contributions collectively enhance the model's performance and versatility. Specifically, Wan is characterized by four key features: Leading Performance: The 14B model of Wan, trained on a vast dataset comprising billions of images and videos, demonstrates the scaling laws of video generation with respect to both data and model size. It consistently outperforms the existing open-source models as well as state-of-the-art commercial solutions across multiple internal and external benchmarks, demonstrating a clear and significant performance superiority. Comprehensiveness: Wan offers two capable models, i.e., 1.3B and 14B parameters, for efficiency and effectiveness respectively. It also covers multiple downstream applications, including image-to-video, instruction-guided video editing, and personal video generation, encompassing up to eight tasks. Consumer-Grade Efficiency: The 1.3B model demonstrates exceptional resource efficiency, requiring only 8.19 GB VRAM, making it compatible with a wide range of consumer-grade GPUs. Openness: We open-source the entire series of Wan, including source code and all models, with the goal of fostering the growth of the video generation community. This openness seeks to significantly expand the creative possibilities of video production in the industry and provide academia with high-quality video foundation models. All the code and models are available at https://github.com/Wan-Video/Wan2.1."
8,2025,InternVL3: Exploring Advanced Training and Test-Time Recipes for Open-Source Multimodal Models,"Jinguo Zhu, Weiyun Wang, Zhe Chen, Zhaoyang Liu, Shenglong Ye, Lixin Gu, Yuchen Duan, Hao Tian, et al.",arXiv.org,2025-04-14,1440,171,244.073,Foundation Models and Large Language Models,benchmark/dataset; self-supervised,foundation-models; multimodal; nlp; vision; ai4science; github,"We introduce InternVL3, a significant advancement in the InternVL series featuring a native multimodal pre-training paradigm.","high citation signal (1,440); influential citation signal (171)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2504.10479,https://www.semanticscholar.org/paper/cddf14e5b97090111d3fa814c9aec60e2bf24b8a,,https://github.com/opengvlab/internvl,10.48550/arXiv.2504.10479,2504.10479,,277780955,Computer Science,JournalArticle,large language models,1,citations=1440; influential=171; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=3,"We introduce InternVL3, a significant advancement in the InternVL series featuring a native multimodal pre-training paradigm. Rather than adapting a text-only large language model (LLM) into a multimodal large language model (MLLM) that supports visual inputs, InternVL3 jointly acquires multimodal and linguistic capabilities from both diverse multimodal data and pure-text corpora during a single pre-training stage. This unified training paradigm effectively addresses the complexities and alignment challenges commonly encountered in conventional post-hoc training pipelines for MLLMs. To further improve performance and scalability, InternVL3 incorporates variable visual position encoding (V2PE) to support extended multimodal contexts, employs advanced post-training techniques such as supervised fine-tuning (SFT) and mixed preference optimization (MPO), and adopts test-time scaling strategies alongside an optimized training infrastructure. Extensive empirical evaluations demonstrate that InternVL3 delivers superior performance across a wide range of multi-modal tasks. In particular, InternVL3-78B achieves a score of 72.2 on the MMMU benchmark, setting a new state-of-the-art among open-source MLLMs. Its capabilities remain highly competitive with leading proprietary models, including ChatGPT-4o, Claude 3.5 Sonnet, and Gemini 2.5 Pro, while also maintaining strong pure-language proficiency. In pursuit of open-science principles, we will publicly release both the training data and model weights to foster further research and development in next-generation MLLMs."
9,2025,Revised Surgical CAse REport (SCARE) guideline: An update for the age of Artificial Intelligence,"Ahmed Kerwan, A. Al-Jabir, Ginimol Mathew, C. Sohrabi, Rasha Rashid, T. Franchi, Maria Nicola, M. Agha, et al.",Premier Journal of Science,,1336,37,227.286,"AI for Science, Healthcare, and Robotics",trustworthy-ai; ai4science,trustworthy-ai; ai4science,Introduction: Artificial intelligence (AI) is rapidly transforming healthcare and scientific publishing.,"high citation signal (1,336); influential citation signal (37); recognized venue","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.70389/pjs.100079,https://www.semanticscholar.org/paper/a9a654ea503386cbfd8bb119fc650cc3d08dc206,,,10.70389/pjs.100079,,,278831210,Computer Science; Medicine,JournalArticle,artificial intelligence,1,citations=1336; influential=37; recognized venue; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=2,"Introduction: Artificial intelligence (AI) is rapidly transforming healthcare and scientific publishing. Reporting guidelines need to be updated to take into account this advance. The SCARE Guideline 2025 update adds a new AI-focused domain to promote transparency, reproducibility, and ethical integrity in surgical case reports involving AI. Methods: A Delphi consensus exercise was conducted to update the SCARE guidelines. A panel of 49 surgical and scientific experts were invited to rate proposed new items. In round 1, participants scored each item on a 9-point Likert scale and provided feedback. Items not meeting consensus were revised or discarded. Results: A 94% response rate occurred amongst participants (46/49) in the first round. Ratings were analysed for agreement levels, and consensus was reached on all six proposed AI-related items. A revised SCARE checklist is presented which incorporates these new AI related items. Authors are now expected to disclose AI involvement not only in patient care but also in manuscript preparation, as exemplified by this paper. Conclusion: The SCARE 2025 guideline provides an up-to-date framework for surgical case reports in the era of AI. Through a robust consensus process, we have added specific reporting criteria for AI to ensure that any use of artificial intelligence in a case report is clearly documented, explained and discussed including with respect to bias and ethics. This update will help maintain the quality, transparency, and clinical relevance of case reports, ultimately improving their educational value and trustworthiness for the surgical community."
10,2025,VGGT: Visual Geometry Grounded Transformer,"Jianyuan Wang, Minghao Chen, Nikita Karaev, Andrea Vedaldi, Christian Rupprecht, David Novotný",Computer Vision and Pattern Recognition,2025-03-14,1322,375,263.143,Vision and Multimodal Learning,transformer,machine-learning; vision; github,"We present VGGT, a feed-forward neural network that directly infers all key 3D attributes of a scene, including camera parameters, point maps, depth maps, and 3D point tracks, from one, a few, or hundreds of its views.","high citation signal (1,322); influential citation signal (375); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR52734.2025.00499,https://www.semanticscholar.org/paper/4356b46e5dd1a4ebd579b1cd6eb3eeedddd5a65c,,https://github.com/facebookresearch/vggt,10.1109/CVPR52734.2025.00499,2503.11651,,277043968,Computer Science,JournalArticle; Conference,computer vision; neural networks,2,citations=1322; influential=375; recognized venue; resource signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=2,"We present VGGT, a feed-forward neural network that directly infers all key 3D attributes of a scene, including camera parameters, point maps, depth maps, and 3D point tracks, from one, a few, or hundreds of its views. This approach is a step forward in 3D computer vision, where models have typically been constrained to and specialized for single tasks. It is also simple and efficient, reconstructing images in under one second, and still outperforming alternatives that require post-processing with visual geometry optimization techniques. The network achieves state-of-the-art results in multiple 3D tasks, including camera parameter estimation, multi-view depth estimation, dense point cloud reconstruction, and 3D point tracking. We also show that using pretrained VGGT as a feature backbone significantly enhances downstream tasks, such as non-rigid point tracking and feed-forward novel view synthesis. Code and models are publicly available at https://github.com/facebookresearch/vggt."
