candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2021,Learning Transferable Visual Models From Natural Language Supervision,"Alec Radford, Jong Wook Kim, Chris Hallacy, A. Ramesh, Gabriel Goh, S. Agarwal, G. Sastry, Amanda Askell, et al.",International Conference on Machine Learning,2021-02-26,50664,9732,389.892,Vision and Multimodal Learning,benchmark/dataset; self-supervised,machine-learning; multimodal; nlp; vision,State-of-the-art computer vision systems are trained to predict a fixed set of predetermined object categories.,"high citation signal (50,664); influential citation signal (9,732); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4,https://www.semanticscholar.org/paper/6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4,,,2103.00020,,231591445,Computer Science,JournalArticle; Conference,computer vision,1,citations=50664; influential=9732; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=4,"State-of-the-art computer vision systems are trained to predict a fixed set of predetermined object categories. This restricted form of supervision limits their generality and usability since additional labeled data is needed to specify any other visual concept. Learning directly from raw text about images is a promising alternative which leverages a much broader source of supervision. We demonstrate that the simple pre-training task of predicting which caption goes with which image is an efficient and scalable way to learn SOTA image representations from scratch on a dataset of 400 million (image, text) pairs collected from the internet. After pre-training, natural language is used to reference learned visual concepts (or describe new ones) enabling zero-shot transfer of the model to downstream tasks. We study the performance of this approach by benchmarking on over 30 different existing computer vision datasets, spanning tasks such as OCR, action recognition in videos, geo-localization, and many types of fine-grained object classification. The model transfers non-trivially to most tasks and is often competitive with a fully supervised baseline without the need for any dataset specific training. For instance, we match the accuracy of the original ResNet-50 on ImageNet zero-shot without needing to use any of the 1.28 million training examples it was trained on. We release our code and pre-trained model weights at https://github.com/OpenAI/CLIP."
2,2021,Highly accurate protein structure prediction with AlphaFold,"J. Jumper, Richard Evans, A. Pritzel, Tim Green, Michael Figurnov, O. Ronneberger, Kathryn Tunyasuvunakool, Russ Bates, et al.",Nature,2021-07-15,36737,3767,363.535,"AI for Science, Healthcare, and Robotics",ai4science,machine-learning; ai4science,"Proteins are essential to life, and understanding their structure can facilitate a mechanistic understanding of their function.","high citation signal (36,737); influential citation signal (3,767); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s41586-021-03819-2,https://www.semanticscholar.org/paper/dc32a984b651256a8ec282be52310e6bd33d9815,https://www.nature.com/articles/s41586-021-03819-2.pdf,10.1038/s41586-021-03819-2,,34265844,235959867,Biology; Computer Science; Materials Science; Medicine,JournalArticle,deep learning; machine learning; neural networks,3,citations=36737; influential=3767; recognized venue; open PDF metadata; AI term matches=3; query hits=3,"Proteins are essential to life, and understanding their structure can facilitate a mechanistic understanding of their function. Through an enormous experimental effort1–4, the structures of around 100,000 unique proteins have been determined5, but this represents a small fraction of the billions of known protein sequences6,7. Structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure. Accurate computational approaches are needed to address this gap and to enable large-scale structural bioinformatics. Predicting the three-dimensional structure that a protein will adopt based solely on its amino acid sequence—the structure prediction component of the ‘protein folding problem’8—has been an important open research problem for more than 50 years9. Despite recent progress10–14, existing methods fall far short of atomic accuracy, especially when no homologous structure is available. Here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known. We validated an entirely redesigned version of our neural network-based model, AlphaFold, in the challenging 14th Critical Assessment of protein Structure Prediction (CASP14)15, demonstrating accuracy competitive with experimental structures in a majority of cases and greatly outperforming other methods. Underpinning the latest version of AlphaFold is a novel machine learning approach that incorporates physical and biological knowledge about protein structure, leveraging multi-sequence alignments, into the design of the deep learning algorithm. AlphaFold predicts protein structures with an accuracy competitive with experimental structures in the majority of cases using a novel deep learning architecture."
3,2021,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,"Ze Liu, Yutong Lin, Yue Cao, Han Hu, Yixuan Wei, Zheng Zhang, Stephen Lin, B. Guo",IEEE International Conference on Computer Vision,,33057,3952,358.884,Vision and Multimodal Learning,transformer,machine-learning; nlp; vision,"This paper presents a new vision Transformer, called Swin Transformer, that capably serves as a general-purpose backbone for computer vision.","high citation signal (33,057); influential citation signal (3,952); open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/ICCV48922.2021.00986,https://www.semanticscholar.org/paper/c8b25fab5608c3e033d34b4483ec47e68ba109b7,http://arxiv.org/pdf/2103.14030,10.1109/ICCV48922.2021.00986,2103.14030,,232352874,Computer Science,JournalArticle; Conference,computer vision; large language models,2,citations=33057; influential=3952; resource signal; open PDF metadata; title AI matches=1; AI term matches=6; query hits=2,"This paper presents a new vision Transformer, called Swin Transformer, that capably serves as a general-purpose backbone for computer vision. Challenges in adapting Transformer from language to vision arise from differences between the two domains, such as large variations in the scale of visual entities and the high resolution of pixels in images compared to words in text. To address these differences, we propose a hierarchical Transformer whose representation is computed with Shifted windows. The shifted windowing scheme brings greater efficiency by limiting self-attention computation to non-overlapping local windows while also allowing for cross-window connection. This hierarchical architecture has the flexibility to model at various scales and has linear computational complexity with respect to image size. These qualities of Swin Transformer make it compatible with a broad range of vision tasks, including image classification (87.3 top-1 accuracy on ImageNet-1K) and dense prediction tasks such as object detection (58.7 box AP and 51.1 mask AP on COCO test-dev) and semantic segmentation (53.5 mIoU on ADE20K val). Its performance surpasses the previous state-of-the-art by a large margin of +2.7 box AP and +2.6 mask AP on COCO, and +3.2 mIoU on ADE20K, demonstrating the potential of Transformer-based models as vision backbones. The hierarchical design and the shifted window approach also prove beneficial for all-MLP architectures. The code and models are publicly available at https://github.com/microsoft/Swin-Transformer."
4,2021,LoRA: Low-Rank Adaptation of Large Language Models,"J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Weizhu Chen",International Conference on Learning Representations,2021-06-17,20108,2862,340.431,Foundation Models and Large Language Models,transformer; self-supervised,foundation-models; nlp,An important paradigm of natural language processing consists of large-scale pre-training on general domain data and adaptation to particular tasks or domains.,"high citation signal (20,108); influential citation signal (2,862)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/a8ca46b171467ceb2d7652fbfb67fe701ad86092,https://www.semanticscholar.org/paper/a8ca46b171467ceb2d7652fbfb67fe701ad86092,,,2106.09685,,235458009,Computer Science,JournalArticle,large language models; natural language processing,2,citations=20108; influential=2862; open PDF metadata; title AI matches=2; AI term matches=4; query hits=2,"An important paradigm of natural language processing consists of large-scale pre-training on general domain data and adaptation to particular tasks or domains. As we pre-train larger models, full fine-tuning, which retrains all model parameters, becomes less feasible. Using GPT-3 175B as an example -- deploying independent instances of fine-tuned models, each with 175B parameters, is prohibitively expensive. We propose Low-Rank Adaptation, or LoRA, which freezes the pre-trained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture, greatly reducing the number of trainable parameters for downstream tasks. Compared to GPT-3 175B fine-tuned with Adam, LoRA can reduce the number of trainable parameters by 10,000 times and the GPU memory requirement by 3 times. LoRA performs on-par or better than fine-tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite having fewer trainable parameters, a higher training throughput, and, unlike adapters, no additional inference latency. We also provide an empirical investigation into rank-deficiency in language model adaptation, which sheds light on the efficacy of LoRA. We release a package that facilitates the integration of LoRA with PyTorch models and provide our implementations and model checkpoints for RoBERTa, DeBERTa, and GPT-2 at https://github.com/microsoft/LoRA."
5,2021,Pattern Classification,Katherine L. Silversides,Encyclopedia of Mathematical Geosciences,,13174,198,297.8,"AI for Science, Healthcare, and Robotics",metadata-ranked,machine-learning,The computational neural-network structures described in the literature are often based on the concept of linear neural units (LNUs).,"high citation signal (13,174); influential citation signal (198); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1002/9781118142882.ch8,https://www.semanticscholar.org/paper/15c0c1a8140925252d5e6cbdaa9cf109d474beac,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.baztech-19e54776-f39c-4e70-bd4a-a24ecbec12cd/c/mollayi_v17i2_01.pdf,10.1002/9781118142882.ch8,,,196008710,Computer Science; Mathematics,,neural networks,1,citations=13174; influential=198; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2,"The computational neural-network structures described in the literature are often based on the concept of linear neural units (LNUs). The biological neuron is a complex computing element, which performs more computations than just linear summation. The computational efficiency of the neural network depends on its structure and the training methods employed. Higher-order combinations of inputs and weights will yield higher neural performance. In this paper, a quadratic-neural unit (QNU) has been developed using a novel general matrix form of the quadratic operation. We have used the QNU for realizing different logic circuits."
6,2021,Masked Autoencoders Are Scalable Vision Learners,"Kaiming He, Xinlei Chen, Saining Xie, Yanghao Li, Piotr Doll'ar, Ross B. Girshick",Computer Vision and Pattern Recognition,2021-11-11,11814,1984,326.604,Vision and Multimodal Learning,transformer; self-supervised,machine-learning; vision,This paper shows that masked autoencoders (MAE) are scalable self-supervised learners for computer vision.,"high citation signal (11,814); influential citation signal (1,984); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR52688.2022.01553,https://www.semanticscholar.org/paper/6351ebb4a3287f5f3e1273464b3b91e5df5a16d7,https://arxiv.org/pdf/2111.06377,10.1109/CVPR52688.2022.01553,2111.06377,,243985980,Computer Science,JournalArticle; Conference,computer vision,1,citations=11814; influential=1984; recognized venue; open PDF metadata; AI term matches=3,"This paper shows that masked autoencoders (MAE) are scalable self-supervised learners for computer vision. Our MAE approach is simple: we mask random patches of the input image and reconstruct the missing pixels. It is based on two core designs. First, we develop an asymmetric encoder-decoder architecture, with an encoder that operates only on the visible subset of patches (without mask tokens), along with a lightweight decoder that reconstructs the original image from the latent representation and mask tokens. Second, we find that masking a high proportion of the input image, e.g., 75%, yields a nontrivial and meaningful self-supervisory task. Coupling these two designs enables us to train large models efficiently and effectively: we accelerate training (by 3× or more) and improve accuracy. Our scalable approach allows for learning high-capacity models that generalize well: e.g., a vanilla ViT-Huge model achieves the best accuracy (87.8%) among methods that use only ImageNet-1K data. Transfer performance in downstream tasks outperforms supervised pretraining and shows promising scaling behavior."
7,2021,Evaluating Large Language Models Trained on Code,"Mark Chen, Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Pondé, Jared Kaplan, Harrison Edwards, Yura Burda, et al.",arXiv.org,2021-07-07,10122,1555,319.795,Foundation Models and Large Language Models,transformer; trustworthy-ai,foundation-models; nlp; trustworthy-ai,"We introduce Codex, a GPT language model fine-tuned on publicly available code from GitHub, and study its Python code-writing capabilities.","high citation signal (10,122); influential citation signal (1,555)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/acbdbf49f9bc3f151b93d9ca9a06009f4f6eb269,https://www.semanticscholar.org/paper/acbdbf49f9bc3f151b93d9ca9a06009f4f6eb269,,,2107.03374,,235755472,Computer Science,JournalArticle,large language models,1,citations=10122; influential=1555; resource signal; translation/trustworthiness signal; open PDF metadata; title AI matches=2; AI term matches=3,"We introduce Codex, a GPT language model fine-tuned on publicly available code from GitHub, and study its Python code-writing capabilities. A distinct production version of Codex powers GitHub Copilot. On HumanEval, a new evaluation set we release to measure functional correctness for synthesizing programs from docstrings, our model solves 28.8% of the problems, while GPT-3 solves 0% and GPT-J solves 11.4%. Furthermore, we find that repeated sampling from the model is a surprisingly effective strategy for producing working solutions to difficult prompts. Using this method, we solve 70.2% of our problems with 100 samples per problem. Careful investigation of our model reveals its limitations, including difficulty with docstrings describing long chains of operations and with binding operations to variables. Finally, we discuss the potential broader impacts of deploying powerful code generation technologies, covering safety, security, and economics."
8,2021,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜,"Emily M. Bender, Timnit Gebru, Angelina McMillan-Major, Shmargaret Shmitchell","Conference on Fairness, Accountability and Transparency",2021-03-03,7559,304,286.558,Foundation Models and Large Language Models,transformer; trustworthy-ai,foundation-models; nlp; trustworthy-ai,"The past 3 years of work in NLP have been characterized by the development and deployment of ever larger language models, especially for English.","high citation signal (7,559); influential citation signal (304); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1145/3442188.3445922,https://www.semanticscholar.org/paper/ca2f1088d3e581b2c6c75cf0ebc96506d620f64d,https://dl.acm.org/doi/pdf/10.1145/3442188.3445922,10.1145/3442188.3445922,,,262580630,Computer Science; Linguistics,Book; JournalArticle,large language models,1,citations=7559; influential=304; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=4,"The past 3 years of work in NLP have been characterized by the development and deployment of ever larger language models, especially for English. BERT, its variants, GPT-2/3, and others, most recently Switch-C, have pushed the boundaries of the possible both through architectural innovations and through sheer size. Using these pretrained models and the methodology of fine-tuning them for specific tasks, researchers have extended the state of the art on a wide array of tasks as measured by leaderboards on specific benchmarks for English. In this paper, we take a step back and ask: How big is too big? What are the possible risks associated with this technology and what paths are available for mitigating those risks? We provide recommendations including weighing the environmental and financial costs first, investing resources into curating and carefully documenting datasets rather than ingesting everything on the web, carrying out pre-development exercises evaluating how the planned approach fits into research and development goals and supports stakeholder values, and encouraging research directions beyond ever larger language models."
9,2021,Physics-informed machine learning,"G. Karniadakis, I. Kevrekidis, Lu Lu, P. Perdikaris, Sifan Wang, Liu Yang",Nature Reviews Physics,2021-05-24,6989,186,284.985,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Physics-informed machine learning within General AI Methods and Systems.,"high citation signal (6,989); influential citation signal (186); recognized venue; open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1038/s42254-021-00314-5,https://www.semanticscholar.org/paper/53c9f3c34d8481adaf24df3b25581ccf1bc53f5c,https://www.osti.gov/biblio/2282016,10.1038/s42254-021-00314-5,,,236407461,Computer Science; Physics,Review,deep learning; machine learning; neural networks,3,citations=6989; influential=186; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
10,2021,On the Opportunities and Risks of Foundation Models,"Rishi Bommasani, Drew A. Hudson, Ehsan Adeli, R. Altman, Simran Arora, Sydney von Arx, Michael S. Bernstein, Jeannette Bohg, et al.",arXiv.org,2021-08-16,6677,298,284.551,Foundation Models and Large Language Models,transformer; ai4science,foundation-models; ai4science,"AI is undergoing a paradigm shift with the rise of models (e.g., BERT, DALL-E, GPT-3) that are trained on broad data at scale and are adaptable to a wide range of downstream tasks.","high citation signal (6,677); influential citation signal (298)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/76e9e2ec3de437ffb30d8b7b629f7fe3e61de5c2,https://www.semanticscholar.org/paper/76e9e2ec3de437ffb30d8b7b629f7fe3e61de5c2,,,2108.07258,,237091588,Computer Science; Philosophy,JournalArticle,deep learning; foundation models,2,citations=6677; influential=298; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2,"AI is undergoing a paradigm shift with the rise of models (e.g., BERT, DALL-E, GPT-3) that are trained on broad data at scale and are adaptable to a wide range of downstream tasks. We call these models foundation models to underscore their critically central yet incomplete character. This report provides a thorough account of the opportunities and risks of foundation models, ranging from their capabilities (e.g., language, vision, robotics, reasoning, human interaction) and technical principles(e.g., model architectures, training procedures, data, systems, security, evaluation, theory) to their applications (e.g., law, healthcare, education) and societal impact (e.g., inequity, misuse, economic and environmental impact, legal and ethical considerations). Though foundation models are based on standard deep learning and transfer learning, their scale results in new emergent capabilities,and their effectiveness across so many tasks incentivizes homogenization. Homogenization provides powerful leverage but demands caution, as the defects of the foundation model are inherited by all the adapted models downstream. Despite the impending widespread deployment of foundation models, we currently lack a clear understanding of how they work, when they fail, and what they are even capable of due to their emergent properties. To tackle these questions, we believe much of the critical research on foundation models will require deep interdisciplinary collaboration commensurate with their fundamentally sociotechnical nature."
