rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
87,1,1,2000,Data Mining: Concepts and Techniques,"Jiawei Han, M. Kamber",,2000-09-08,13893,622,303.946,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Data Mining: Concepts and Techniques within General AI Methods and Systems.,"high citation signal (13,893); influential citation signal (622)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/c36991759325bedd19f69264f72d1cbf59a6158c,https://www.semanticscholar.org/paper/c36991759325bedd19f69264f72d1cbf59a6158c,,,,,52869656,Business; Computer Science,,data mining,1,citations=13893; influential=622; open PDF metadata; title AI matches=1; AI term matches=1,
147,2,2,2000,Independent component analysis: algorithms and applications,"Aapo Hyvärinen, E. Oja",Neural Networks,2000-05-01,9204,924,299.422,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Independent component analysis: algorithms and applications within General AI Methods and Systems.,"high citation signal (9,204); influential citation signal (924); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1016/S0893-6080(00)00026-5,https://www.semanticscholar.org/paper/577d19a115f9ef6f002483fcf88adbb3b5479556,http://www.cse.msu.edu/~cse902/S03/icasurvey.pdf,10.1016/S0893-6080(00)00026-5,,10946390,11959218,Computer Science; Mathematics; Medicine,JournalArticle,neural networks,1,citations=9204; influential=924; open PDF metadata; AI term matches=2,
174,3,3,2000,An Introduction to Support Vector Machines and Other Kernel-based Learning Methods,"N. Cristianini, J. Shawe-Taylor",,2000-03-01,8367,331,286.98,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions An Introduction to Support Vector Machines and Other Kernel-based Learning Methods within Graph Learning, Recommendation, and Core Methods.","high citation signal (8,367); influential citation signal (331); open-access PDF metadata","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1017/CBO9780511801389.013,https://www.semanticscholar.org/paper/6ec7c724aa1d906e9e9f81c58497adddb22175b8,http://www.gbv.de/dms/goettingen/512565724.pdf,10.1017/CBO9780511801389.013,,,60486887,Computer Science; Mathematics,,data mining; machine learning; support vector machines,3,citations=8367; influential=331; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
216,4,4,2000,Statistical Pattern Recognition: A Review,"Anil K. Jain, R. Duin, J. Mao",IEEE Transactions on Pattern Analysis and Machine Intelligence,,6984,397,300.544,General AI Methods and Systems,survey/review,machine-learning,Positions Statistical Pattern Recognition: A Review within General AI Methods and Systems.,"high citation signal (6,984); influential citation signal (397); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1109/34.824819,https://www.semanticscholar.org/paper/3626f388371b678b2f02f6eefc44fa5abc53ceb3,,10.1109/34.824819,,,192934,Computer Science,JournalArticle; Review,data mining; neural networks; pattern recognition,3,citations=6984; influential=397; recognized venue; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
255,5,5,2000,Fast Training of Support Vector Machines using Sequential Minimal Optimization,J. Platt,,,6003,600,284.984,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,machine-learning,"Positions Fast Training of Support Vector Machines using Sequential Minimal Optimization within Graph Learning, Recommendation, and Core Methods.","high citation signal (6,003); influential citation signal (600)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://www.semanticscholar.org/paper/d1fa8485ad749d51e7470d801bc1931706597601,https://www.semanticscholar.org/paper/d1fa8485ad749d51e7470d801bc1931706597601,,,,,1099857,Computer Science,,support vector machines,1,citations=6003; influential=600; open PDF metadata; title AI matches=1; AI term matches=1,
495,6,6,2000,Using Bayesian Networks to Analyze Expression Data,"N. Friedman, M. Linial, I. Nachman, D. Pe’er",Annual International Conference on Research in Computational Molecular Biology,2000-04-08,3675,147,254.572,"AI for Science, Healthcare, and Robotics",ai4science,ai4science,"Positions Using Bayesian Networks to Analyze Expression Data within AI for Science, Healthcare, and Robotics.","high citation signal (3,675); influential citation signal (147); open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1089/106652700750050961,https://www.semanticscholar.org/paper/c84539a89bc0a2a2425ca1b0046833f57d86e7b0,http://www.ls.huji.ac.il/~michall/papers/Friedman-JBC-paper.pdf,10.1089/106652700750050961,,11108481,53303729,Biology; Computer Science; Medicine,JournalArticle,bayesian networks,1,citations=3675; influential=147; open PDF metadata; title AI matches=1; AI term matches=1,
527,7,7,2000,Support Vector Machine Active Learning with Applications to Text Classification,"Simon Tong, D. Koller",Journal of machine learning research,2000-06-29,3517,266,277.866,Natural Language Processing and Knowledge,metadata-ranked,machine-learning; nlp,Positions Support Vector Machine Active Learning with Applications to Text Classification within Natural Language Processing and Knowledge.,"high citation signal (3,517); influential citation signal (266); recognized venue","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://www.semanticscholar.org/paper/a8797f1d253c75669d96e6fcceda2be3f8534e1d,https://www.semanticscholar.org/paper/a8797f1d253c75669d96e6fcceda2be3f8534e1d,,,,,7806109,Computer Science,JournalArticle,machine learning; support vector machines,2,citations=3517; influential=266; recognized venue; open PDF metadata; title AI matches=2; AI term matches=3; query hits=2,
580,8,8,2000,"Haykin, Simon. Neural networks: A comprehensive foundation, Prentice Hall, Inc. Segunda Edición, 1999",J. Nazuno,,,3253,0,184.928,General AI Methods and Systems,metadata-ranked,machine-learning,"Positions Haykin, Simon. Neural networks: A comprehensive foundation, Prentice Hall, Inc. Segunda Edición, 1999 within General AI Methods and Systems.","high citation signal (3,253)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/ca91cd1e67cb558dd2b7d94d37c3dba208b7cd40,https://www.semanticscholar.org/paper/ca91cd1e67cb558dd2b7d94d37c3dba208b7cd40,,,,,147456412,Sociology,,neural networks,1,citations=3253; influential=0; open PDF metadata; title AI matches=2; AI term matches=2,
620,9,9,2000,"Book Reviews: Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition","Dan Jurafsky, James H. Martin",International Conference on Computational Logic,,3106,226,259.86,Natural Language Processing and Knowledge,metadata-ranked,nlp,"Positions Book Reviews: Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition within Natural Language Processing and Knowledge.","high citation signal (3,106); influential citation signal (226)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://www.semanticscholar.org/paper/1254c99a381d1f9d6abb23c74be060e4e7876985,https://www.semanticscholar.org/paper/1254c99a381d1f9d6abb23c74be060e4e7876985,,,,,60691216,Computer Science; Linguistics,Review,natural language processing,1,citations=3106; influential=226; open PDF metadata; title AI matches=2; AI term matches=2,
668,10,10,2000,"Artificial neural networks: fundamentals, computing, design, and application.","I. Basheer, M. Hajmeer",Journal of Microbiological Methods,2000-12-01,2946,121,250.004,General AI Methods and Systems,metadata-ranked,machine-learning,"Positions Artificial neural networks: fundamentals, computing, design, and application. within General AI Methods and Systems.","high citation signal (2,946); influential citation signal (121)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1016/S0167-7012(00)00201-3,https://www.semanticscholar.org/paper/4015ab96980cb9509d55bed4f781aa8e0c19a304,,10.1016/S0167-7012(00)00201-3,,11084225,18267806,Computer Science; Engineering; Medicine,Review; JournalArticle,neural networks,1,citations=2946; influential=121; open PDF metadata; title AI matches=2; AI term matches=2,
